D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2306\RC\230619\empty_120_1.d ,1,4.338,4.994,5.609,37.05,816.03,100,100,100,0.367,,0,0,,,,,0,0,0.85,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_60_2.d ,1,4.126,6.185,6.508,23.39,931.86,100,100,100,0.664,,0,0,,,,,10.81,0,2.25,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_60_1.d ,1,4.124,5.087,6.506,58.38,945.26,100,100,100,0.27,,0,0,,,,,0,0,1.36,247.82,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_60_2.d ,1,4.127,5.078,5.927,29.94,1069.12,100,100,100,0.756,,0,0,,,,,0,0,2.29,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_480_2.d ,1,4.125,5.509,6.507,70.64,1189.6,100,100,100,0.443,,0,0,,,,,27.06,89.37,1.85,367.53,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_240_2.d ,1,4.122,6.018,6.504,65.49,2118.39,100,100,100,0.539,,0,389.25,,,,,0,135,1.9,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_30_2.d ,1,4.125,6.047,6.507,107.24,3720.32,100,100,100,0.728,,0,0,,,,,34.34,55.77,1.26,476.03,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_30_2.d ,1,4.123,5.851,6.505,116.75,3886.5,100,100,100,0.634,,0,534.18,,,,,13.91,62.7,0.99,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_240_1.d ,1,4.138,6.108,6.52,138.37,4234.03,100,100,100,0.51,,0,0,,,,,12.38,34.26,1.56,285.24,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_240_2.d ,1,4.127,6.065,6.509,109.07,4897.39,100,100,100,1.012,,0,0,,,,,0,0,2.97,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_480_1.d ,1,4.129,5.387,6.511,130.81,6621.66,100,100,100,0.974,,0,0,,,,,23.34,15.16,0.37,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\neg_nad_2.d ,1,4.14,6.091,6.522,178.88,6768.77,100,100,100,0.631,,0,0,,,,,36.47,134.36,0.97,902.93,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_480_2.d ,1,4.128,5.743,6.51,136.58,7353.63,100,100,100,0.891,,0,0,,,,,0,0,1.04,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_120_1.d ,1,4.137,5.938,6.519,131.13,7929.81,100,100,100,0.978,,0,0,,,,,0,52.46,1.29,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_30_1.d ,1,4.125,5.962,6.507,134.1,8212.91,100,100,100,1.017,,0,0,,,,,21.16,50.05,1,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_480_1.d ,1,4.126,5.739,6.508,219.37,8273.73,100,100,100,0.583,,245.94,0,,,,,31.41,0,0.9,356.99,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_480_2.d ,1,4.127,5.675,6.509,168.67,8307.53,100,100,100,0.819,,0,402.36,,,,,17.41,19.97,1.12,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_480_2.d ,1,4.13,6.029,6.512,209.12,8401.59,100,100,100,0.795,,0,0,,,,,13.31,22.48,2.44,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_480_1.d ,1,4.128,5.649,6.51,128.59,9887.29,100,100,100,1.051,,0,0,,,,,11.94,17.41,1.04,587.75,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_480_2.d ,1,4.13,5.63,6.512,156.17,10861.67,100,100,100,1.056,,0,0,,,,,19,15.28,0.89,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_30_1.d ,1,4.127,5.883,6.509,306.52,10889.78,100,100,100,0.625,,0,0,,,,,30,90.01,1.36,551.35,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_480_1.d ,1,4.131,5.876,6.513,169.5,11012.28,100,100,100,0.99,,0,0,,,,,11.81,0,1.52,0,,,  ,248.9721,,,,,,,,,,,
