D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2306\RC\230619\ser_30_2.d ,1,3.567,4.304,5.499,41.73,230.81,100,100,100,0.271,,412.61,0,,,,,43.19,47.38,0.75,257.03,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_60_1.d ,1,3.57,4.622,5.502,132.52,738.12,100,100,100,0.093,,0,0,,,,,42.13,0,0.32,0,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_1hr_3.d ,1,3.583,4.626,5.515,410.86,1157.7,100,100,100,0.285,,0,0,,,,,54.56,0,0,420.21,,,  ,850.1202,,,,,,,,,,,
F:\2306\RC\230619\empty_60_2.d ,1,3.571,4.231,5.503,77.46,1415.31,100,100,100,0.499,,0,0,,,,,47.75,0,0,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_60_2.d ,1,3.62,4.011,4.361,59.16,1560.21,82.82,51.72,45.3,0.494,,0,0,,,,,0,0,0.95,545.03,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_60_1.d ,1,3.576,4.366,5.508,155.08,1635.59,100,100,100,0.221,,0,0,,,,,38.88,34.19,1.01,1330.24,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_3.d ,1,4.375,4.78,5.513,276.59,1867.3,100,100,100,0.225,,0,0,,,,,0,42.63,0,290.06,,,  ,248.9699,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_2.d ,1,3.574,4.7,5.506,317.11,1923.07,100,100,100,0.2,,0,0,,,,,55.69,27.69,1.4,231.66,,,  ,248.9697,,,,,,,,,,,
F:\2306\RC\230619\pyr_60_1.d ,1,3.571,4.685,5.503,135.65,2153.77,100,100,100,0.287,,0,0,,,,,35.31,0,0.24,0,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_1.d ,1,4.376,4.769,5.515,165.26,2452.47,100,100,100,0.247,,0,0,,,,,0,27,1.05,729.57,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_2.d ,1,4.215,4.818,5.167,156.85,2647.99,100,100,100,0.274,,0,0,,,,,0,0,1.95,0,,,  ,248.9699,,,,,,,,,,,
F:\2306\RC\230619\mal_60_2.d ,1,3.835,4.285,4.999,113.53,2654.54,100,100,100,0.374,,0,0,,,,,0,0,0.68,622.31,,,  ,248.9721,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_1.d ,1,3.573,4.695,5.214,205.18,2657.67,100,100,75.46,0.249,,0,0,,,,,20.48,3.74,0.46,392.68,,,  ,248.9697,,,,,,,,,,,
F:\2306\RC\230619\pyr_60_2.d ,1,3.571,4.641,5.018,255.78,2677.16,100,100,100,0.236,,0,0,,,,,36.94,0,1.47,720.16,,,  ,248.9721,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_3.d ,1,4.209,4.705,5.506,117.59,2702.78,100,100,100,0.442,,0,0,,,,,0,0,0.43,0,,,  ,248.9697,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_30min_2.d ,1,3.583,4.63,5.515,318.28,2823.41,100,100,100,0.268,,0,0,,,,,22.44,0,0.49,0,,,  ,850.137,,,,,,,,,,,
F:\2306\RC\230619\empty_120_2.d ,1,3.573,4.307,5.505,414.89,3097.96,100,100,100,0.256,,0,210.79,,,,,25.5,64.34,0,657.71,,,  ,248.9721,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_dil_2.d ,1,3.574,4.52,5.506,160.93,3106.18,100,100,100,0.387,,0,0,,,,,22.81,0,0.47,0,,,  ,191.0207,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_0min_1.d ,1,4.058,4.808,5.513,76.6,3157.94,100,100,100,0.587,,0,0,,,,,0,0,0.7,0,,,  ,808.1168,,,,,,,,,,,
F:\2306\RC\230619\ser_60_1.d ,1,3.727,4.678,5.5,155.73,3186.54,100,100,100,0.408,,0,0,,,,,0,32.15,6.34,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_60_1.d ,1,3.577,4.538,4.868,124.32,3257.66,100,100,100,0.428,,0,0,,,,,12,0,2.21,260,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_30_1.d ,1,3.568,4.332,5.5,181.47,3321.7,100,100,100,0.384,,0,261.22,,,,,27.31,21.06,0.32,551.03,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_120_1.d ,1,3.571,4.676,4.968,202.91,3342.69,100,100,75.26,0.464,,0,0,,,,,9.44,0,5,319.5,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_2hr_2.d ,1,3.795,4.631,5.515,362.81,3500.55,100,100,100,0.364,,0,0,,,,,0,25.25,0.73,735.46,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_0min_3.d ,1,3.582,4.726,5.514,220.74,3558.63,100,100,100,0.334,,0,0,,,,,11.04,0,0.42,455.14,,,  ,248.9699,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_dil_3.d ,1,3.572,4.622,5.504,251.06,3785.38,100,100,100,0.388,,223.03,0,,,,,23.25,24.91,0,0,,,  ,191.0207,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_4hr_3.d ,1,4.11,4.643,5.513,337.05,4139.32,100,100,100,0.305,,0,0,,,,,0,0,0.42,0,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_1hr_1.d ,1,3.9,4.599,5.514,190.19,4386.36,100,100,100,0.396,,0,225.16,,,,,0,22.51,0.58,319.13,,,  ,248.9699,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_HCT_dil_1.d ,1,3.838,4.493,5.506,204.66,4539.21,100,100,100,0.353,,0,0,,,,,0,30.45,1.2,0,,,  ,191.0207,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_30min_1.d ,1,4.308,4.618,5.499,313.62,4622.87,100,100,100,0.246,,0,0,,,,,0,26.5,0.84,0,,,  ,850.137,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_HCT_dil_2.d ,1,3.573,4.54,5.505,285.78,4706.39,100,100,100,0.29,,316.28,0,,,,,32.94,0,0.73,870.37,,,  ,662.0999,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_2hr_1.d ,1,3.583,4.603,5.515,283.4,4752.88,100,100,100,0.427,,0,0,,,,,0,0,1.08,0,,,  ,248.9699,,,,,,,,,,,
F:\2306\RC\230619\neg_nadp_1.d ,1,3.57,4.311,5.502,227.84,4753.28,100,100,100,0.373,,214,0,,,,,55.25,2,0.28,806.08,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_1hr_3.d ,1,4.217,4.751,5.513,269.8,4761.42,100,100,100,0.344,,0,0,,,,,0,0,0.46,523.83,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\std_5.d ,1,3.575,4.703,5.507,294.78,4797.2,100,100,100,0.268,,0,0,,,,,4.06,54.13,1.87,337.92,,,  ,133.0145,,,,,,,,,,,
F:\2306\RC\230619\gly_30_1.d ,1,3.566,4.308,5.498,245.68,4810.65,100,100,100,0.566,,0,0,,,,,0,0,0.62,0,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_30min_3.d ,1,3.99,4.589,5.499,249.46,5000.22,100,100,100,0.332,,0,0,,,,,0,0,0.42,0,,,  ,424.5639,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_4hr_3.d ,1,3.577,4.586,5.509,383.1,5099.03,100,100,100,0.292,,0,0,,,,,21.56,24.77,0.45,638.65,,,  ,850.1202,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_1hr_2.d ,1,4.057,4.63,5.513,323.08,5146.91,100,100,100,0.447,,0,0,,,,,0,0,0.53,926.27,,,  ,850.1202,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_4hr_2.d ,1,3.739,4.643,5.512,324.08,5180.06,100,100,100,0.266,,0,0,,,,,0,0,0.48,385.35,,,  ,248.9699,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_dil_1.d ,1,3.575,4.786,5.507,337.13,5359.9,100,100,100,0.287,,0,0,,,,,0,0,1.65,433.6,,,  ,248.9697,,,,,,,,,,,
F:\2306\RC\230619\neg_nadp_2.d ,1,3.956,4.277,5.517,250.76,5584.68,100,100,100,0.371,,0,0,,,,,0,89.91,0.89,368.51,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_4hr_1.d ,1,3.582,4.711,5.514,165.94,5593.13,100,100,100,0.577,,0,0,,,,,0,0,0.69,0,,,  ,96.9562,,,,,,,,,,,
F:\2306\RC\230619\neg_nad_1.d ,1,3.582,4.284,5.514,719.37,5869.97,100,100,100,0.202,,0,299.18,,,,,46.38,107.6,0.73,1218.2,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\std_4.d ,1,3.571,4.723,5.503,323.29,6122.11,100,100,100,0.317,,0,0,,,,,1,113.15,0.96,0,,,  ,133.0145,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_HCT_dil_3.d ,1,3.575,4.495,5.507,383.3,6280.34,100,100,100,0.278,,0,0,,,,,0,0,0.76,342.63,,,  ,403.5533,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_dil_3.d ,1,3.57,4.718,5.502,421.98,6534.62,100,100,100,0.313,,0,0,,,,,37.25,0,0.38,490.36,,,  ,248.9697,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_0min_2.d ,1,3.901,4.645,5.515,463.94,6909.59,100,100,100,0.248,,0,0,,,,,0,0,0.62,0,,,  ,850.1202,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_4hr_2.d ,1,4.056,4.594,5.512,343.46,7011.52,100,100,100,0.374,,0,0,,,,,0,40.38,0.69,512.78,,,  ,850.1202,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_30min_3.d ,1,3.63,4.635,5.509,407.91,7406.04,100,100,100,0.414,,0,0,,,,,0,0,0.68,0,,,  ,850.137,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_1hr_2.d ,1,3.581,4.585,5.513,452.36,7483.4,100,100,100,0.338,,0,0,,,,,22.44,0,0.32,481.62,,,  ,424.5639,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_2hr_1.d ,1,4.267,4.591,5.511,376.47,8393.97,100,100,100,0.398,,0,0,,,,,0,0,0.57,629.33,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_2hr_3.d ,1,4.265,4.597,5.509,398.64,8803.87,100,100,100,0.391,,0,0,,,,,0,0,0.5,0,,,  ,850.1202,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\std_2.d ,1,3.573,4.456,5.505,161.19,8832.14,100,100,100,0.781,,0,0,,,,,65.31,130.61,0.6,0,,,  ,133.0145,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_2hr_2.d ,1,3.578,4.616,5.51,835.41,9288.61,100,100,100,0.431,,0,0,,,,,1,0,0.61,557.22,,,  ,850.1202,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_1hr_1.d ,1,4.269,4.623,5.513,718.75,9307.67,100,100,100,0.343,,0,0,,,,,0,0,0.46,0,,,  ,850.1202,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_30min_1.d ,1,3.894,4.59,5.512,223.97,9477.18,100,100,100,0.629,,0,0,,,,,0,0,0.6,538.47,,,  ,424.5639,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_30min_2.d ,1,4.162,4.602,5.512,526.56,9951.2,100,100,100,0.361,,0,0,,,,,0,0,0.44,622.14,,,  ,850.137,,,,,,,,,,,
