D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2306\RC\230619\ser_120_1.d ,1,3.703,4.067,4.651,42.4,995.28,100,100,100,0.6,,0,0,,,,,0,0,0.74,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_120_1.d ,1,4.657,5.332,5.927,58.51,1650.13,100,100,100,0.47,,0,0,,,,,0,0,0.88,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_120_2.d ,1,3.705,4.465,5.88,47.43,1922.27,100,100,100,0.676,,0,0,,,,,0,0,0.68,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_60_1.d ,1,3.7,4.509,5.712,56.8,2378.23,100,100,100,0.698,,0,0,,,,,0,0,0.42,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_60_2.d ,1,3.699,4.677,5.79,158.22,2569.58,100,100,100,0.271,,0,0,,,,,0,0,1.44,533.01,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\std_5.d ,1,3.813,5.796,6.513,49.17,2664.27,100,100,100,0.878,,0,0,,,,,0,0,5.29,0,,,  ,248.9699,,,,,,,,,,,
F:\2306\RC\230619\empty_120_1.d ,1,3.703,5.28,5.859,74.09,2957.85,100,100,100,0.783,,0,0,,,,,0,0,2.66,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_30_1.d ,1,3.699,4.663,5.604,179.67,3767.43,100,100,100,0.349,,0,0,,,,,0,20.47,1.2,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_120_2.d ,1,3.704,4.65,6.509,298.85,5422.94,100,100,100,0.302,,0,0,,,,,0,16.04,0.44,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_60_2.d ,1,3.703,4.649,6.508,295.04,7433.01,100,100,100,0.858,,0,0,,,,,0,0.55,0.37,1291.52,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_30_2.d ,1,3.7,6.035,6.505,720.13,13008.6,100,100,100,0.301,,0,1364.98,,,,,0,771.72,-0.08,2937.35,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_120_2.d ,1,3.91,6.047,6.504,484.78,14164.82,100,100,100,0.487,,0,0,,,,,0,83.88,1.1,2475.68,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_240_2.d ,1,3.699,5.906,6.504,1171.66,31355.61,100,100,100,0.446,,0,1189.7,,,,,0,273.1,0.69,1985.41,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_480_2.d ,1,3.706,5.926,6.512,717.26,34799.33,100,100,100,0.881,,0,0,,,,,0,418.19,0.75,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_480_2.d ,1,3.707,5.85,6.512,733.97,36639,100,100,100,0.78,,0,1043.03,,,,,48.06,827.63,0.48,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\neg_nadp_2.d ,1,3.612,5.75,6.523,5023.07,45397.57,100,100,100,0.386,,0,926.57,,,,,21.47,268.11,1.31,9120.84,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_480_2.d ,1,3.704,5.862,6.51,1239.13,50223,100,100,100,0.68,,0,770.05,,,,,0,307.36,0.74,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_480_1.d ,1,3.703,5.946,6.508,1297.69,50900.16,100,100,100,0.609,,0,0,,,,,0,348.88,1.55,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_480_2.d ,1,3.703,6.006,6.509,2055.38,52013.85,100,100,100,0.422,,0,0,,,,,10.53,351.63,1.4,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_480_1.d ,1,3.7,5.798,6.506,856.64,54431.3,100,100,100,1.059,,0,0,,,,,20.13,211.7,0.89,991.19,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_480_1.d ,1,3.708,5.842,6.513,1054.54,54997.6,100,100,100,0.854,,0,0,,,,,0,246.88,0.8,1883.77,,,  ,248.9721,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_3.d ,1,3.706,5.493,6.511,2683.3,55556.08,100,100,100,0.345,,0,408.82,,,,,0,440.62,1.32,3041.24,,,  ,248.9697,,,,,,,,,,,
F:\2306\RC\230619\pyr_480_1.d ,1,3.705,5.865,6.511,835.73,58121.35,100,100,100,1.093,,0,854.38,,,,,0,464.91,0.98,2560.08,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_480_1.d ,1,3.705,5.874,6.51,1088.89,61713.91,100,100,100,0.945,,0,652.01,,,,,0,554.32,0.88,3756.51,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_30_1.d ,1,3.701,6.034,6.507,2015.59,65674.67,100,100,100,0.571,,0,0,,,,,0,836.34,0.91,5854.1,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_30_2.d ,1,3.608,5.878,6.52,1626.89,71416.51,100,100,100,0.681,,0,1519.28,,,,,0,454.55,0.65,3108.6,,,  ,248.9721,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_2.d ,1,3.706,5.48,6.511,2426.65,89793.92,100,100,100,0.732,,0,0,,,,,11.88,148.88,1.57,2518.53,,,  ,248.9697,,,,,,,,,,,
F:\2306\RC\230619\empty_0_1.d ,1,4.231,5.769,6.507,5359.68,108654.04,100,100,100,0.338,,0,0,,,,,0,946.03,0.88,10379.62,,43.17,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_0_1.d ,1,3.609,5.83,6.521,4104.73,114801.23,100,100,100,0.466,,0,0,,,,,0,1280.71,0.55,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_0_2.d ,1,3.608,5.862,6.52,4686.77,126850.33,100,100,100,0.563,,0,0,,,,,0,1654.06,0.61,5903.86,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_0_2.d ,1,3.711,5.821,6.524,3988.81,133180.07,100,100,100,0.556,,0,0,,,,,0,1042.79,0.81,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_30_1.d ,1,3.704,5.816,6.509,5256.49,165029.58,100,100,100,0.588,,0,2216.49,,,,,0,1621.72,0.71,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_0_1.d ,1,3.703,5.855,6.508,3591.58,187799.41,100,100,100,0.877,,0,0,,,,,0,1055.09,1.14,8480.49,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_0_2.d ,1,3.701,5.832,6.507,4789.43,220651.56,100,100,100,0.776,,0,0,,,,,0,524.85,1.04,5813.49,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_0_1.d ,1,3.609,5.7,6.52,5264.23,221891.07,100,100,100,0.703,,0,0,,,,,0,1473.67,0.68,0,,,  ,248.9721,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_1.d ,1,3.706,5.634,6.511,4393.1,240159.37,100,100,100,0.88,,0,1329.81,,,,,18.53,1297.83,0.99,6235.13,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_dil_2.d ,1,3.706,5.46,6.511,5694.61,257626.67,100,100,100,0.754,,0,0,,,,,13.19,739.64,2.15,6707.2,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_dil_3.d ,1,3.703,5.462,6.508,6646.77,319268.24,100,100,100,0.801,,0,0,,,,,0,633.09,1.93,7968.02,,,  ,505.9933,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_dil_1.d ,1,3.707,5.439,6.513,6769.86,382531.55,100,100,100,0.977,,0,0,,,,,0,648.67,1.44,8520.24,,,  ,505.9933,,,,,,,,,,,
F:\2306\RC\230619\ser_0_2.d ,1,3.714,5.773,6.519,8784.6,404840.9,100,100,100,0.786,,0,0,,,,,0,1872.03,0.86,18363.78,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_0_1.d ,1,3.607,5.706,6.519,11473.93,496167.77,100,100,100,0.758,,0,2647.42,,,,,0,2349.75,0.77,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_0_2.d ,1,3.711,5.695,6.517,10248.26,597009.62,100,100,100,0.953,,468.84,3151.66,,,,,25.34,1707.02,0.89,0,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_3.d ,1,4.284,6.013,6.557,60171,2427788,100,100,100,2.273,,0,10474,0,950,,60894,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_2.d ,1,4.332,6.017,6.533,77229,3034083,100,100,100,2.201,,0,61685,0,2341,,79021,,,MM,,,,,M,,,,,,,,,,,
