F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2204-2304\RC\221025_malic_enzyme\tp-3.d ,1,2.286,4.144,5.198,215,8714.56,100,100,100,0.808,,0,0,,,,,5.28,54.73,0.84,0,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-2.d ,1,2.285,4.135,5.037,341.41,12864.59,100,100,100,0.628,,0,0,,,,,13.67,111.94,0.8,0,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-3.d ,1,2.48,4.404,6.721,945,18861,100,100,100,4.241,,0,374,0,-21,,935,,101.03,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_0min_3.d ,1,2.709,4.803,5.991,1034.65,44962.19,100,100,100,0.746,,0,566.52,,,,,0,406.8,0.76,901.27,,,  ,808.1168,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_0min_2.d ,1,2.286,4.642,5.992,5374.5,95453.31,100,100,100,0.296,,0,0,,,,,0,195.55,0.8,3319.54,,,  ,850.1202,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\N_07.d ,1,3.708,4.483,6.032,2401.84,98321.39,100,100,100,0.682,,0,0,,,,,0,0,0.92,0,,32.91,  ,248.9707,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\R_07.d ,1,3.493,4.498,6.039,2822.86,100260.06,100,100,100,0.831,,0,0,,,,,0,0,0.72,2660.08,,,  ,248.9707,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_3.d ,1,2.709,4.788,7.09,2227.07,101037.31,100,100,100,4.38,,0,0,0,0,,2227.07,,100,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_30min_3.d ,1,2.704,4.628,5.556,5406.63,112849.94,100,100,100,0.666,,0,472.84,,,,,0,92.43,0.93,3730.18,,,  ,850.137,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_2.d ,1,2.807,4.831,7.288,2231.05,114057.83,100,100,100,4.48,,0,0,0,0,,2231.05,,100,MM,,,,,M,,,,,,,,,,,
