D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\dil_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2306\RC\230619\neg_nad_2.d ,1,0.567,1.017,1.494,3370.8,52569.98,100,100,100,0.26,,0,548.47,,,,,160.44,552.61,1.95,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_480_2.d ,1,0.557,0.96,1.483,5641.43,53525.71,100,100,100,0.158,,0,912.23,,,,,394,574.16,1.25,14014.09,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_240_2.d ,1,0.565,0.973,1.491,6339.88,53733.64,100,100,100,0.238,,0,671.78,,,,,226.13,690.54,1.8,0,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_480_1.d ,1,0.604,0.971,1.477,19144.3,54983.66,100,100,100,0.208,,0,2350.41,,,,,2090.81,976.13,2.86,19442.24,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_480_1.d ,1,0.553,0.968,1.294,5391.64,55614.54,100,100,100,0.172,,0,0,,,,,396.75,315.25,1.66,0,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\std_5.d ,1,0.558,1.031,1.484,2610.55,58726.47,100,100,100,0.403,,0,0,,,,,1336.69,46.75,1.28,3461.23,,,  ,248.9699,,,,,,,,,,,
F:\2306\RC\230619\neg_nadp_2.d ,1,0.568,0.994,1.494,10601.04,60239.71,100,100,100,0.141,,0,0,,,,,59.81,155.03,1.49,26026.96,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_0_2.d ,1,0.605,0.933,1.478,11049.59,60886.05,100,100,100,0.092,,0,1118.56,,,,,802.44,737.25,1.21,68556.28,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_3.d ,1,0.564,1.152,1.491,11114.87,62848.08,100,100,100,0.094,,0,0,,,,,180.13,68.13,1.01,10260.51,,,  ,248.9699,,,,,,,,,,,
F:\2306\RC\230619\empty_480_1.d ,1,0.558,0.972,1.485,9742.82,70159.49,100,100,100,0.12,,0,856.62,,,,,447,470.58,1.23,9822.11,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_2.d ,1,0.562,1.151,1.489,11948.88,71130.89,100,100,100,0.099,,0,0,,,,,114.19,83.19,1.11,10190.24,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_0min_1.d ,1,0.565,1.156,1.492,12142.24,78296.63,100,100,100,0.107,,0,0,,,,,26.06,74.55,1.07,11119.69,,,  ,248.9699,,,,,,,,,,,
F:\2306\RC\230619\mal_0_1.d ,1,0.553,0.962,1.48,9163.68,85189.7,100,100,100,0.155,,0,0,,,,,264.06,791.19,1.35,0,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\std_3.d ,1,0.555,1.148,1.481,10816.95,89565.92,100,100,100,0.138,,0,0,,,,,0,20.17,1.05,10286.55,,,  ,217.002,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_1hr_3.d ,1,0.564,1.149,1.491,14144.46,89952.11,100,100,100,0.106,,0,481.69,,,,,156.25,215.31,1.09,11666.72,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_0min_1.d ,1,0.564,1.152,1.49,14922.5,97283.91,100,100,100,0.109,,0,0,,,,,52.44,146.38,1.14,13957.14,,,  ,248.9699,,,,,,,,,,,
F:\2306\RC\230619\ser_480_2.d ,1,0.555,0.97,1.481,17077.76,100939,100,100,100,0.099,,0,0,,,,,206,680.2,1.3,19421.46,,,  ,248.9721,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_1.d ,1,0.556,0.863,1.192,14614.44,167473.38,100,100,100,0.191,,0,1960.05,,,,,540.56,204.81,1.17,0,,,  ,134.05,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\sds_neg_3.d ,1,0.564,0.993,1.49,36115.65,192122.39,100,100,100,0.224,,0,0,,,,,1170.44,366.94,1.15,31026.18,,,  ,248.9697,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\sds_neg_2.d ,1,0.563,1,1.489,36386.78,195684.43,100,100,100,0.134,,0,843.4,,,,,780.75,512.69,1.16,32400.21,,,  ,248.9697,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_0min_3.d ,1,0.565,1.159,1.491,26323.63,198838.34,100,100,100,0.126,,0,221.11,,,,,338.5,22.13,0.99,23932.26,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\std_4.d ,1,0.554,1.154,1.48,19828.01,205734.78,100,100,100,0.173,,0,0,,,,,30.5,30.31,1.03,19289.97,,,  ,248.9699,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\sds_neg_1.d ,1,0.556,1.053,1.483,44684.56,254359.29,100,100,100,0.134,,0,0,,,,,1790.63,398.38,0.92,42081.18,,,  ,248.9697,,,,,,,,,,,
F:\2306\RC\230619\mal_30_2.d ,1,0.605,0.983,1.479,78583.7,334432.11,100,100,100,0.071,,0,1450.69,,,,,1806.56,660.69,1,68702.23,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_120_2.d ,1,0.554,0.984,1.481,67114.01,361496.12,100,100,100,0.09,,0,990.32,,,,,145.44,682.16,1.04,61259.2,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_30_1.d ,1,0.605,0.978,1.478,78194.19,363779.83,100,100,100,0.078,,0,630.33,,,,,1377,623.75,1,77977.88,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_120_1.d ,1,0.554,0.985,1.48,67168.44,366025.12,100,100,100,0.091,,0,0,,,,,461.88,320.44,1,64159.93,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_240_2.d ,1,0.606,0.982,1.479,77481.16,400006.13,100,100,100,0.086,,2165.46,319.45,,,,,923.88,817.06,1.02,67149.43,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_60_1.d ,1,0.605,0.984,1.479,79720.11,403566.58,100,100,100,0.084,,873.7,0,,,,,970,740.75,0.98,71696.82,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_240_1.d ,1,0.554,0.984,1.48,73424.51,403978.26,100,100,100,0.092,,0,1180.06,,,,,282.94,716.49,1.02,63431.67,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_60_2.d ,1,0.553,0.986,1.479,80804.54,440038.11,100,100,100,0.091,,0,589.76,,,,,0,540.86,1,75413.67,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_4hr_1.d ,1,0.565,1.156,1.491,32253.09,452406.71,100,100,100,0.234,,0,282.75,,,,,205.94,280.13,1,32388.06,,,  ,248.9699,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_4hr_2.d ,1,0.563,1.153,1.49,33049.75,465755.74,100,100,100,0.235,,0,0,,,,,471.56,174.44,1,35397.64,,,  ,248.9699,,,,,,,,,,,
