"F:\2204-2304\RC\220608_Pyc\N_00.d"," -ESI EIC(101.0244) Scan Frag=175.0V N_00.d "
"F:\2204-2304\RC\220608_Pyc\N_00.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220608_Pyc\N_00.d" ,"1" ,3.570,4.166,4.483,21591.78,161139.70,100.00,100.00,100.00,0.124,,663.47,1754.02,,,,,658.81,973.28,0.96,26289.57,,35.40,  ,248.9707,,,,,,,,,,,,

"F:\2204-2304\RC\220608_Pyc\N_01.d"," -ESI EIC(101.0244) Scan Frag=175.0V N_01.d "
"F:\2204-2304\RC\220608_Pyc\N_01.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220608_Pyc\N_01.d" ,"1" ,3.568,4.153,4.481,17784.63,155981.09,100.00,100.00,100.00,0.146,,0.00,838.48,,,,,391.38,885.47,1.05,28584.61,,,  ,248.9707,,,,,,,,,,,,

"F:\2204-2304\RC\220608_Pyc\N_02.d"," -ESI EIC(101.0244) Scan Frag=175.0V N_02.d "
"F:\2204-2304\RC\220608_Pyc\N_02.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220608_Pyc\N_02.d" ,"1" ,3.573,4.143,4.486,27774.50,143600.41,100.00,100.00,100.00,0.086,,956.76,806.03,,,,,637.13,726.36,0.97,32712.47,,,  ,248.9707,,,,,,,,,,,,

"F:\2204-2304\RC\220608_Pyc\N_03.d"," -ESI EIC(101.0244) Scan Frag=175.0V N_03.d "
"F:\2204-2304\RC\220608_Pyc\N_03.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220608_Pyc\N_03.d" ,"1" ,3.570,4.176,4.483,10334.41,65222.59,100.00,100.00,100.00,0.105,,795.01,1239.74,,,,,493.06,610.63,0.94,10855.42,,,  ,248.9707,,,,,,,,,,,,

"F:\2204-2304\RC\220608_Pyc\N_04.d"," -ESI EIC(101.0244) Scan Frag=175.0V N_04.d "
"F:\2204-2304\RC\220608_Pyc\N_04.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220608_Pyc\N_04.d" ,"1" ,3.569,4.152,4.482,20675.63,150949.97,100.00,100.00,100.00,0.122,,0.00,1482.66,,,,,893.31,977.94,0.91,33635.72,,,  ,248.9707,,,,,,,,,,,,

"F:\2204-2304\RC\220608_Pyc\N_05.d"," -ESI EIC(101.0244) Scan Frag=175.0V N_05.d "
"F:\2204-2304\RC\220608_Pyc\N_05.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220608_Pyc\N_05.d" ,"1" ,3.570,4.142,4.483,25513.19,128251.17,100.00,100.00,100.00,0.192,,555.00,1705.98,,,,,712.38,886.35,0.97,32804.21,,,  ,248.9707,,,,,,,,,,,,

"F:\2204-2304\RC\220608_Pyc\N_06.d"," -ESI EIC(101.0244) Scan Frag=175.0V N_06.d "
"F:\2204-2304\RC\220608_Pyc\N_06.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220608_Pyc\N_06.d" ,"1" ,3.571,4.149,4.484,24941.06,139112.03,100.00,100.00,100.00,0.093,,0.00,1498.10,,,,,799.19,878.29,0.94,30989.64,,,  ,248.9707,,,,,,,,,,,,

"F:\2204-2304\RC\220608_Pyc\N_07.d"," -ESI EIC(101.0244) Scan Frag=175.0V N_07.d "
"F:\2204-2304\RC\220608_Pyc\N_07.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220608_Pyc\N_07.d" ,"1" ,3.570,4.149,4.483,28497.59,188635.04,100.00,100.00,100.00,0.110,,0.00,621.74,,,,,421.13,722.19,0.98,31274.63,,,  ,248.9707,,,,,,,,,,,,

"F:\2204-2304\RC\220608_Pyc\R_00.d"," -ESI EIC(101.0244) Scan Frag=175.0V R_00.d "
"F:\2204-2304\RC\220608_Pyc\R_00.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220608_Pyc\R_00.d" ,"1" ,3.572,4.160,4.485,18343.24,165948.37,100.00,100.00,100.00,0.151,,493.06,1951.40,,,,,526.38,1209.73,0.97,29434.84,,,  ,248.9707,,,,,,,,,,,,

"F:\2204-2304\RC\220608_Pyc\R_01.d"," -ESI EIC(101.0244) Scan Frag=175.0V R_01.d "
"F:\2204-2304\RC\220608_Pyc\R_01.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220608_Pyc\R_01.d" ,"1" ,3.573,4.151,4.486,38857.23,220948.38,100.00,100.00,100.00,0.201,,998.22,1150.02,,,,,816.00,1290.68,0.91,45781.08,,,  ,147.0279,,,,,,,,,,,,

"F:\2204-2304\RC\220608_Pyc\R_02.d"," -ESI EIC(101.0244) Scan Frag=175.0V R_02.d "
"F:\2204-2304\RC\220608_Pyc\R_02.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220608_Pyc\R_02.d" ,"1" ,3.576,4.152,4.489,27073.42,147731.25,100.00,100.00,100.00,0.198,,776.82,1203.55,,,,,713.44,1143.77,0.86,32247.42,,,  ,248.9707,,,,,,,,,,,,

"F:\2204-2304\RC\220608_Pyc\R_03.d"," -ESI EIC(101.0244) Scan Frag=175.0V R_03.d "
"F:\2204-2304\RC\220608_Pyc\R_03.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220608_Pyc\R_03.d" ,"1" ,3.575,4.149,4.488,33399.79,189255.14,100.00,100.00,100.00,0.094,,1169.40,1079.63,,,,,571.81,844.43,0.99,33465.33,,,  ,248.9707,,,,,,,,,,,,

"F:\2204-2304\RC\220608_Pyc\R_04.d"," -ESI EIC(101.0244) Scan Frag=175.0V R_04.d "
"F:\2204-2304\RC\220608_Pyc\R_04.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220608_Pyc\R_04.d" ,"1" ,3.573,4.154,4.486,20191.05,161780.30,100.00,100.00,100.00,0.134,,0.00,822.23,,,,,622.06,1124.34,0.98,33684.87,,,  ,248.9707,,,,,,,,,,,,

"F:\2204-2304\RC\220608_Pyc\R_05.d"," -ESI EIC(101.0244) Scan Frag=175.0V R_05.d "
"F:\2204-2304\RC\220608_Pyc\R_05.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220608_Pyc\R_05.d" ,"1" ,3.576,4.147,4.489,39006.52,194332.90,100.00,100.00,100.00,0.191,,1178.48,1322.27,,,,,612.88,1148.52,0.82,45944.46,,,  ,147.0279,,,,,,,,,,,,

"F:\2204-2304\RC\220608_Pyc\R_06.d"," -ESI EIC(101.0244) Scan Frag=175.0V R_06.d "
"F:\2204-2304\RC\220608_Pyc\R_06.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220608_Pyc\R_06.d" ,"1" ,3.574,4.149,4.487,26215.64,145103.24,100.00,100.00,100.00,0.092,,0.00,701.22,,,,,648.69,741.56,0.97,32351.65,,,  ,248.9707,,,,,,,,,,,,

"F:\2204-2304\RC\220608_Pyc\R_07.d"," -ESI EIC(101.0244) Scan Frag=175.0V R_07.d "
"F:\2204-2304\RC\220608_Pyc\R_07.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220608_Pyc\R_07.d" ,"1" ,3.576,4.157,4.489,27230.64,169773.11,100.00,100.00,100.00,0.208,,0.00,1919.07,,,,,587.81,1423.79,0.85,28876.48,,,  ,248.9707,,,,,,,,,,,,

