"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-1.d"," -ESI EIC(664.1178) Scan Frag=175.0V es-20x-1.d "
"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-1.d" ,"1" ,3.538,3.817,4.146,4351834.80,14544583.45,100.00,100.00,98.65,0.127,,380.62,3762.46,,,,,79.63,502.64,0.95,4845945.00,,69.68,  ,664.1093,,,,,,,,,,,,
"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-1.d" ,"2" ,4.146,4.219,4.517,41485.72,198911.34,1.37,0.95,1.35,0.123,,3762.46,0.00,,,,,502.64,760.13,0.65,44524.82,,0.66,  ,662.0931,,,,,,,,,,,,

"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-2.d"," -ESI EIC(664.1178) Scan Frag=175.0V es-20x-2.d "
"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-2.d" ,"1" ,3.646,3.816,4.149,62561.03,240982.42,93.46,100.00,48.31,0.081,,0.00,1100.47,,,,,0.00,303.35,0.46,61003.78,,,  ,248.9664,,,,,,,,,,,,
"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-2.d" ,"2" ,4.149,4.241,4.519,56981.78,257856.91,100.00,91.08,51.69,0.075,,1100.47,795.14,,,,,303.35,526.88,0.88,58067.31,,,  ,662.0931,,,,,,,,,,,,

"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-3.d"," -ESI EIC(664.1178) Scan Frag=175.0V es-20x-3.d "
"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-3.d" ,"1" ,3.540,4.246,4.506,55079.25,338910.28,100.00,100.00,100.00,0.103,,0.00,637.72,,,,,19.88,218.65,1.33,58274.30,,,  ,662.0931,,,,,,,,,,,,

"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-4.d"," -ESI EIC(664.1178) Scan Frag=175.0V es-20x-4.d "
"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-4.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-4.d" ,"1" ,3.699,4.262,4.507,50511.04,247191.11,100.00,100.00,100.00,0.082,,0.00,0.00,,,,,0.00,190.88,1.22,47997.27,,,  ,662.0931,,,,,,,,,,,,

"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-5.d"," -ESI EIC(664.1178) Scan Frag=175.0V es-20x-5.d "
"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-5.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-5.d" ,"1" ,3.544,3.835,4.180,131252.81,451626.95,100.00,100.00,60.74,0.114,,0.00,1821.65,,,,,0.00,298.22,0.47,119442.52,,,  ,664.1093,,,,,,,,,,,,
"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-5.d" ,"2" ,4.180,4.260,4.524,64729.15,291860.16,64.62,49.32,39.26,0.075,,1821.65,665.07,,,,,298.22,459.75,0.86,67384.09,,,  ,662.0931,,,,,,,,,,,,

"F:\2204-2304\RC\220902_Pyc\220905-rerun\ns-20x-1.d"," -ESI EIC(664.1178) Scan Frag=175.0V ns-20x-1.d "
