"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-1.d"," -ESI EIC(101.0244) Scan Frag=175.0V es-20x-1.d "
"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-1.d" ,"1" ,2.029,2.492,2.770,28051.85,295759.64,100.00,100.00,100.00,0.208,,0.00,0.00,,,,,260.50,0.00,2.62,31649.37,,84.49,  ,181.0713,,,,,,,,,,,,

"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-2.d"," -ESI EIC(101.0244) Scan Frag=175.0V es-20x-2.d "
"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-2.d" ,"1" ,2.031,2.494,2.680,25384.70,264852.22,100.00,100.00,100.00,0.206,,0.00,0.00,,,,,451.00,0.00,2.29,28973.41,,,  ,181.0713,,,,,,,,,,,,

"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-3.d"," -ESI EIC(101.0244) Scan Frag=175.0V es-20x-3.d "
"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-3.d" ,"1" ,2.032,2.495,2.681,25412.17,211904.54,100.00,100.00,95.73,0.139,,1417.01,0.00,,,,,1425.63,0.00,2.21,26136.18,,,  ,216.9990,,,,,,,,,,,,
"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-3.d" ,"2" ,2.681,2.854,3.011,494.59,9456.29,4.46,1.95,4.27,0.319,,0.00,775.00,,,,,0.00,-375.16,0.73,0.00,,,  ,237.0935,,,,,,,,,,,,

"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-4.d"," -ESI EIC(101.0244) Scan Frag=175.0V es-20x-4.d "
"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-4.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-4.d" ,"1" ,2.032,2.502,2.678,26652.28,194414.70,100.00,100.00,95.29,0.122,,0.00,0.00,,,,,675.50,0.00,1.87,27911.82,,,  ,216.9990,,,,,,,,,,,,
"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-4.d" ,"2" ,2.678,2.888,3.011,918.15,9602.08,4.94,3.44,4.71,0.160,,0.00,0.00,,,,,0.00,-196.23,1.88,1733.25,,,  ,237.0935,,,,,,,,,,,,

"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-5.d"," -ESI EIC(101.0244) Scan Frag=175.0V es-20x-5.d "
"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-5.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220902_Pyc\220905-rerun\es-20x-5.d" ,"1" ,2.036,2.518,2.684,13054.25,100659.88,100.00,100.00,100.00,0.167,,1306.17,0.00,,,,,815.63,0.00,1.43,12925.59,,,  ,181.0713,,,,,,,,,,,,

"F:\2204-2304\RC\220902_Pyc\220905-rerun\ns-20x-1.d"," -ESI EIC(101.0244) Scan Frag=175.0V ns-20x-1.d "
"F:\2204-2304\RC\220902_Pyc\220905-rerun\ns-20x-1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220902_Pyc\220905-rerun\ns-20x-1.d" ,"1" ,2.032,2.497,2.679,25693.44,195361.51,100.00,100.00,100.00,0.127,,2363.08,0.00,,,,,1113.25,0.00,1.83,28038.29,,,  ,181.0713,,,,,,,,,,,,

"F:\2204-2304\RC\220902_Pyc\220905-rerun\ns-20x-2.d"," -ESI EIC(101.0244) Scan Frag=175.0V ns-20x-2.d "
"F:\2204-2304\RC\220902_Pyc\220905-rerun\ns-20x-2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220902_Pyc\220905-rerun\ns-20x-2.d" ,"1" ,2.029,2.501,2.875,21923.46,141183.82,100.00,100.00,100.00,0.196,,2216.48,0.00,,,,,1789.50,131.63,1.81,22912.66,,,  ,181.0713,,,,,,,,,,,,

"F:\2204-2304\RC\220902_Pyc\220905-rerun\ns-20x-3.d"," -ESI EIC(101.0244) Scan Frag=175.0V ns-20x-3.d "
"F:\2204-2304\RC\220902_Pyc\220905-rerun\ns-20x-3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220902_Pyc\220905-rerun\ns-20x-3.d" ,"1" ,2.033,2.503,2.680,20181.38,134690.01,100.00,100.00,100.00,0.111,,2875.51,0.00,,,,,1733.75,0.00,1.54,21432.48,,,  ,181.0713,,,,,,,,,,,,

"F:\2204-2304\RC\220902_Pyc\220905-rerun\ns-20x-4.d"," -ESI EIC(101.0244) Scan Frag=175.0V ns-20x-4.d "
"F:\2204-2304\RC\220902_Pyc\220905-rerun\ns-20x-4.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220902_Pyc\220905-rerun\ns-20x-4.d" ,"1" ,2.192,2.687,2.999,1461.65,14226.30,100.00,100.00,100.00,0.216,,0.00,0.00,,,,,0.00,0.00,1.44,1659.28,,,  ,237.0935,,,,,,,,,,,,

"F:\2204-2304\RC\220902_Pyc\220905-rerun\ns-20x-5.d"," -ESI EIC(101.0244) Scan Frag=175.0V ns-20x-5.d "
"F:\2204-2304\RC\220902_Pyc\220905-rerun\ns-20x-5.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"F:\2204-2304\RC\220902_Pyc\220905-rerun\ns-20x-5.d" ,"1" ,2.032,2.517,2.720,13832.78,101595.87,100.00,100.00,100.00,0.169,,1436.51,0.00,,,,,1125.25,0.00,2.14,13542.08,,,  ,216.9990,,,,,,,,,,,,

