F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2204-2304\RC\221025_malic_enzyme\tp-3.d ,1,4.06,4.521,5.515,494.04,14240.37,100,100,100,0.461,,221.68,0,,,,,49.31,188.04,0.59,857.71,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-3.d ,1,4.061,4.473,5.517,435.45,15321.92,100,100,100,0.589,,0,0,,,,,0,70.38,0.46,637.51,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-2.d ,1,3.585,4.317,5.492,2916.79,72859.55,100,100,100,1.907,,0,528.14,0,31.9,,2929.03,,99.58,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-2.d ,1,3.443,4.208,5.206,97169,743608,100,100,100,1.763,,0,1144,0,1144,,97665,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-1.d ,1,3.425,4.195,5.254,449099,2891355,100,100,100,1.829,,0,2818,0,2818,,450286,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-2.d ,1,4.058,4.502,5.514,939338.45,5638966.45,100,100,100,0.1,,0,1772.63,,,,,189.38,1661.3,0.92,914941.63,,,  ,808.1173,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-1.d ,1,4.096,4.51,5.499,758137.47,5829089.28,100,100,100,0.324,,302.11,1422.24,,,,,58.94,1489.08,1.04,886342.81,,,  ,808.1173,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-2.d ,1,4.058,4.525,5.514,857388.94,6856675.37,100,100,100,0.314,,0,2767.63,,,,,49.75,2680.48,1,1035439.25,,,  ,808.1173,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-2.d ,1,4.057,4.606,5.512,1272825.79,7079346.42,100,100,100,0.093,,0,1611.94,,,,,42.75,1772.73,0.97,1663045.38,,,  ,808.1173,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,1,4.098,4.638,5.501,1657356.72,7915849.83,100,100,100,0.285,,0,2734.73,,,,,22.25,2106.86,0.94,1803264.38,,,  ,808.1173,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-3.d ,1,4.055,4.504,5.511,1276752.33,7949570.09,100,100,100,0.104,,0,2629.11,,,,,51.75,2292.51,0.94,1327904.75,,,  ,808.1173,,,,,,,,,,,
