F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2204-2304\RC\221025_malic_enzyme\tp-2.d ,1,3.716,4.339,5.039,184.41,3013.49,100,100,100,0.272,,0,0,,,,,0,70.97,1.03,341.05,,,  ,662.1008,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-3.d ,1,4.003,4.33,4.862,424,3154,100,100,100,0.859,,0,0,0,0,,424,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-3.d ,1,3.612,4.285,5.041,97.43,4199.59,100,100,100,0.552,,0,0,,,,,28.13,29.45,0,0,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,1,3.701,4.531,5.025,537.3,6217.42,100,100,100,0.193,,0,0,,,,,17.66,4.28,0.99,1009.08,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-2.d ,1,3.608,4.487,5.037,172.11,8068.79,100,100,100,0.737,,0,272.96,,,,,0,63.01,1.43,0,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-1.d ,1,3.608,4.476,5.037,392.03,8341.96,100,100,100,0.355,,0,0,,,,,0.53,22.56,1.34,637.01,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero1.d ,1,3.708,4.245,4.71,739.94,16262.13,100,100,100,0.366,,0,0,,,,,71.75,0,0.83,913.25,,,  ,346.0573,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero3.d ,1,3.607,4.222,4.71,1270.22,18794.35,100,100,100,0.247,,0,0,,,,,35.19,9.47,0.96,0,,,  ,346.0465,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-1.d ,1,3.61,4.211,5.039,1642.95,21515.22,100,100,100,0.39,,0,0,,,,,67,0,0.87,1816.69,,,  ,346.0573,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero2.d ,1,3.61,4.209,5.039,1421.34,21995.09,100,100,100,0.439,,0,0,,,,,56.06,0,0.87,1135.01,,,  ,346.0465,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-1.d ,1,3.699,4.42,5.023,1536.98,23466.11,100,100,100,0.358,,0,0,,,,,0,30.77,0.55,2387.51,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-3.d ,1,3.61,4.212,5.039,1825.78,23515.85,100,100,100,0.392,,0,0,,,,,82.34,20.81,0,1562.46,,,  ,346.0573,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-1.d ,1,3.609,4.459,5.038,1543.37,23922.83,100,100,100,0.258,,0,0,,,,,20.63,52.54,0.9,1577.37,,,  ,808.1173,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-2.d ,1,3.608,4.434,5.038,1218.27,24452.62,100,100,100,0.419,,0,0,,,,,29.25,0,0.5,2446.01,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-2.d ,1,3.612,4.205,4.703,1893.5,26958.99,100,100,100,0.237,,0,0,,,,,22.53,0,0.94,2070.25,,,  ,346.0465,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-3.d ,1,3.609,4.447,5.038,1791.19,29441.86,100,100,100,0.358,,0,0,,,,,8.41,59.94,0.75,1818.46,,,  ,558.0646,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-2.d ,1,3.608,4.411,5.037,1470.9,31714.94,100,100,100,0.359,,0,0,,,,,58.06,58.06,0.76,2135.01,,,  ,346.0473,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-1.d ,1,3.61,4.26,5.039,2143.18,32565.56,100,100,100,0.253,,234.64,313.2,,,,,39.53,28.81,0.99,1675.24,,69.1,  ,346.0573,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-3.d ,1,3.711,4.385,5.034,2842.93,36321.88,100,100,100,0.363,,411.46,0,,,,,34.22,0,0.64,3998.17,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-3.d ,1,3.606,4.419,5.035,1948.56,39004.85,100,100,100,0.334,,0,0,,,,,24.38,0,0.79,2742.94,,,  ,346.0473,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-2.d ,1,3.607,4.381,5.036,3713.63,39596.25,100,100,100,0.178,,0,0,,,,,15.34,29.42,0.94,4332.26,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-2.d ,1,3.608,4.37,5.037,5142.19,53554.46,100,100,100,0.174,,0,0,,,,,14.41,0,0.87,6596,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-3.d ,1,3.71,4.368,5.033,5476.8,56158.38,100,100,100,0.171,,0,0,,,,,45.72,0,0.97,6168.02,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-1.d ,1,3.71,4.363,5.034,8108.41,82477.42,100,100,100,0.17,,0,0,,,,,26.91,31.95,0.97,7016.37,,,  ,248.9701,,,,,,,,,,,
