F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2204-2304\RC\221025_malic_enzyme\tp-3.d ,1,3.776,4.873,5.987,15206.3,955557.32,100,100,100,2.212,,0,12117.26,0,-165.28,,15124.28,,,MM,,,,,M,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-3.d ,1,3.594,4.792,5.923,32040.46,1707803.56,100,100,100,2.328,,637.51,17789.85,637.51,2602.06,,33688.33,,,MM,,,,,M,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-2.d ,1,4.001,4.755,5.925,191019.92,7472379.99,100,100,100,1.924,,3632,51348.78,-1032.38,-2064.76,,189582.91,,,MM,,,,,M,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-2.d ,1,4.06,4.797,6.583,459731.13,10567605.54,100,100,100,0.461,,789.78,5235.31,,,,,212.88,5225.84,0.37,489524.72,,,  ,191.0139,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-1.d ,1,4.097,4.973,6.237,1087510.53,23521624.5,100,100,100,2.14,,3183.93,19621.31,2537.2,-11807.8,,1084175.63,,,MM,,,,,M,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-1.d ,1,4.151,4.755,6.052,816914.65,27318167,100,100,100,1.901,,6378.15,131056.96,6378.1,18013.6,,826990.25,,,MM,,,,,M,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-2.d ,1,4.057,4.983,6.186,1071895.9,28097960.9,100,100,100,2.129,,6055.53,20241.15,5290.6,-5839.5,,1072346,,,MM,,,,,M,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-3.d ,1,4.054,4.952,6.077,1253671.85,30128853.1,100,100,100,2.023,,19183.28,57938.69,18528.9,20799.9,,1273208.75,,,MM,,,,,M,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-3.d ,1,4.185,4.933,6.136,1492178,35773668,100,100,100,1.951,,5244,43146,5244,-8126,,1492294,,,MM,,,,,M,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-2.d ,1,4.057,4.971,6.064,1579396.68,51508055.5,100,100,100,2.007,,45237.88,299331.31,42014.4,35250.7,,1618328.38,,,MM,,,,,M,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-1.d ,1,3.926,4.574,6.038,2428926.6,59389760.2,100,100,100,2.112,,23342.96,285916.34,23342.9,13337.2,,2449197,,,MM,,,,,M,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-1.d ,1,4.063,5.161,6.053,1477814.23,62430584.3,100,100,100,1.99,,5374.76,533724.19,4877.6,40911.4,,1502565.13,,,MM,,,,,M,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-1.d ,1,4.053,4.984,5.993,3040127.45,81691740.4,100,100,100,1.94,,46511.9,678193.5,43155,101658.4,,3111364.75,,,MM,,,,,M,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-1.d ,1,3.904,4.497,5.983,3782072.15,83429193.9,100,100,100,2.079,,20991.44,274574.03,20991.4,83225.8,,3820821.25,,,MM,,,,,M,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-2.d ,1,4.055,5.109,6.167,2766482.45,87901306.2,100,100,100,2.112,,11461.77,724383.44,10145,15133.7,,2779115.25,,,MM,,,,,M,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,1,4.099,5.142,6.195,2657318.35,89918052.2,100,100,100,2.096,,0,723969.69,0,14509.8,,2664535.25,,,MM,,,,,M,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-2.d ,1,4.056,4.882,6.035,3077923.8,92305139.5,100,100,100,1.979,,20146.16,560764.06,19602.1,16861.4,,3096382,,,MM,,,,,M,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-3.d ,1,4.052,5.061,6.175,3225675.7,96734196.5,100,100,100,2.123,,32332.65,650373.5,24509,-35089.6,,3221863.5,,,MM,,,,,M,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-3.d ,1,3.975,4.485,6.065,3875129.9,97866341.4,100,100,100,2.09,,11595.83,387466.13,11595.8,21178,,3889064,,,MM,,,,,M,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero3.d ,1,4.111,4.499,6.056,3690014.2,98858208.2,100,100,100,1.946,,32869.57,413506.91,32869.5,0,,3716329,,,MM,,,,,M,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero1.d ,1,3.925,4.524,6.104,3374410.55,99135061.9,100,100,100,2.179,,3832.09,413667.13,3832,18418.1,,3382250.75,,,MM,,,,,M,,,,,,,
