F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2204-2304\RC\221025_malic_enzyme\tp-1.d ,1,4.137,6.059,6.519,114.68,296.59,100,100,100,0.043,,0,0,,,,,90.37,0,0.11,0,,,  ,191.0139,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-3.d ,1,4.141,5.627,6.523,27.81,860.7,100,100,100,0.516,,0,0,,,,,0,0,2.29,0,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-1.d ,1,4.139,5.342,6.521,18939.17,299836.53,100,100,100,0.32,,1199.32,1243,,,,,883.66,412.97,1.78,13194.18,,68.22,  ,191.0139,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero1.d ,1,4.132,5.344,6.52,25136.06,811516.08,100,100,100,0.538,,1507.36,1030.79,,,,,971.56,456.16,3.51,24053.6,,,  ,191.0139,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero3.d ,1,4.136,5.321,6.518,78670.48,1117314.52,100,100,100,0.237,,1865.9,2076.98,,,,,1179.75,735.94,1.91,63002.1,,,  ,191.0139,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero2.d ,1,4.139,5.322,6.521,76296.03,1162151.25,100,100,100,0.316,,1918.56,910.35,,,,,1365,321.22,4.14,50225.98,,,  ,191.0139,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-2.d ,1,4.141,5.319,6.523,114315.86,1382191.78,100,100,100,0.274,,1654.04,1055.43,,,,,1353.19,455.72,4.29,84892,,,  ,191.0139,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-3.d ,1,4.139,5.32,6.521,95292.88,1389024.64,100,100,100,0.243,,2325.87,1704.13,,,,,1581.44,385.16,2.23,66375.25,,,  ,191.0139,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-1.d ,1,4.123,4.672,6.505,250430.59,2155660.08,100,100,100,0.232,,0,0,,,,,232.41,232.41,0.79,307583.19,,,  ,766.11,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-2.d ,1,4.138,4.679,6.52,277154.81,2219322.6,100,100,100,0.574,,0,0,,,,,111.5,111.5,0.84,272778.88,,,  ,766.0941,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-1.d ,1,4.091,4.634,6.286,643649.18,2287569.83,100,100,100,2.195,,0,3073.83,0,3073.83,,644409.88,,99.88,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-2.d ,1,4.136,4.78,6.518,329726.38,2419740.97,100,100,100,0.376,,0,3196.89,,,,,13.78,515.29,0.6,448949,,,  ,766.0941,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,1,4.125,4.794,6.507,242300.52,2438390,100,100,100,0.246,,0,4086.07,,,,,0,1414.01,0.83,626417.5,,,  ,766.0941,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-1.d ,1,4.14,5.511,6.522,1220.31,2555704.03,100,100,100,24.718,,2687.82,1063.81,,,,,2011.19,291.66,0,2222.21,,,  ,191.0139,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-2.d ,1,3.985,4.667,6.335,468015,2663921,100,100,100,2.351,,0,1032,0,1032,,468315,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-3.d ,1,4.138,4.68,6.52,368999.65,2862060.74,100,100,100,0.405,,0,1038.24,,,,,200.53,200.53,0.75,415038.31,,,  ,766.0941,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-3.d ,1,4.02,4.652,6.293,555554,3034964,100,100,100,2.273,,0,985,0,985,,555828,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-3.d ,1,4.133,4.772,6.515,605311.7,4232737.45,100,100,100,0.361,,0,3031.78,,,,,64.56,703.89,0.69,623420.75,,,  ,766.0941,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-1.d ,1,4.134,4.69,6.516,578567.48,5354939.86,100,100,100,0.154,,0,2258.29,,,,,456.38,456.38,0.97,1148012.5,,,  ,766.0941,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-3.d ,1,4.135,5.925,6.517,7651.27,5428601.13,100,100,100,11.825,,0,2813.38,,,,,48.09,776.44,53.6,10123.39,,,  ,191.0144,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-2.d ,1,4.137,5.971,6.519,4915.79,5431946.72,100,100,100,18.417,,0,2394.11,,,,,76,768.55,73.84,4719.01,,0.39,  ,191.0144,,,,,,,,,,,
