F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2204-2304\RC\221025_malic_enzyme\tp-3.d ,1,1.704,2.429,3.398,30.83,231.05,100,100,100,0.125,,0,0,,,,,40.81,0,-0.52,0,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-3.d ,1,1.812,2.458,3.4,583.5,6192.41,100,100,100,0.177,,0,0,,,,,0,0,0.88,691.34,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-1.d ,1,1.702,2.496,5.037,47832.47,684370.04,100,100,100,0.238,,0,0,,,,,132.63,0,0.65,92724.98,,,  ,156.9873,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero3.d ,1,1.699,2.448,4.704,166434.59,826362.83,100,100,100,3.005,,1048.23,0,197.03,0,,166582.55,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-3.d ,1,1.704,2.449,5.039,78842.95,899443.4,100,100,100,0.19,,602.17,0,,,,,32.69,25.44,0.39,167482.81,,,  ,156.9873,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero1.d ,1,1.691,2.437,5.035,88120.92,929621.04,100,100,100,0.176,,0,0,,,,,95.31,18,0.44,169002.78,,,  ,156.9873,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-2.d ,1,1.706,2.449,5.041,93025.4,1012571.87,100,100,100,0.932,,0,0,,,,,292.25,24.34,0.43,193619.61,,,  ,156.9873,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero2.d ,1,1.704,2.446,5.039,102120.77,1027559.76,100,100,100,0.942,,0,0,,,,,93.72,36.91,0.46,175868.77,,,  ,156.9873,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-1.d ,1,1.704,2.479,5.039,73445.82,1102837.12,100,100,100,0.25,,0,0,,,,,97.31,0,0.48,72825.66,,,  ,156.9873,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-1.d ,1,1.705,2.446,5.039,93283.05,1192574.95,100,100,100,0.968,,0,0,,,,,116.72,43.63,0.34,134305.3,,,  ,156.9873,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-2.d ,1,1.558,2.102,4.186,185970,1980592,100,100,100,2.628,,0,408,0,408,,186054,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-2.d ,1,1.703,2.627,5.037,186733.21,2059012.81,100,100,100,0.351,,0,0,,,,,31.06,0,0.18,307151.72,,,  ,146.0408,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-2.d ,1,1.733,2.636,4.344,670598,2138975,100,100,100,2.611,,0,1864,0,1864,,671243,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-2.d ,1,1.703,2.623,5.038,193108.31,2162318.64,100,100,100,0.353,,0,0,,,,,0,4.83,0.26,387983.03,,,  ,141.0129,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-1.d ,1,1.702,2.616,4.534,449644.75,2233525.82,100,100,100,2.833,,0,0,0,0,,449644.75,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-1.d ,1,1.688,2.632,5.023,286281.56,2311366.78,100,100,100,0.316,,0,0,,,,,17.94,24.83,0.18,171058.69,,,  ,141.0129,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-3.d ,1,1.703,2.626,5.038,193850.86,2322342.51,100,100,100,0.388,,0,0,,,,,28.19,14.38,0.2,320273,,,  ,141.0129,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-3.d ,1,1.701,2.623,5.035,197803.24,2368141.47,100,100,100,0.437,,0,0,,,,,20.03,0,0.22,350360.81,,,  ,141.0129,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,1,1.69,2.747,5.025,349636.7,2401222.5,100,100,100,0.49,,0,576.31,,,,,43.91,69.25,0.16,496493.78,,,  ,146.0408,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-1.d ,1,1.699,2.643,5.034,274685.42,2438059.53,100,100,100,0.325,,0,0,,,,,25.16,0,0.12,162589.03,,,  ,237.0881,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-3.d ,1,1.914,2.607,4.325,668527.13,2453462.94,100,100,100,2.412,,0,0,0,0,,668527.13,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-2.d ,1,1.702,2.617,5.037,202929.34,2488983.73,100,100,100,0.443,,0,0,,,,,0,13.07,0.28,488047.84,,,  ,141.0129,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-3.d ,1,1.713,2.622,4.623,704084,2642999,100,100,100,2.91,,0,0,0,0,,704084,,,MM,,,,,M,,,,,,,,,,,
