F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2204-2304\RC\221025_malic_enzyme\0p-3.d ,1,3.622,4.404,4.592,935,3329,100,100,100,0.97,,0,0,0,0,,935,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-3.d ,1,3.186,4.13,5.039,148.59,5143.74,100,100,100,0.612,,0,0,,,,,15.09,21.44,0.74,0,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-2.d ,1,3.53,4.223,4.683,1284,8711,100,100,100,1.153,,0,0,0,0,,1284,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,1,3.172,4.372,5.025,10189.11,131161.85,100,100,100,0.215,,0,0,,,,,0,0,0.85,6395.68,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero1.d ,1,3.283,4.027,4.663,17370.63,169872.77,100,100,100,0.375,,0,0,,,,,0,14.53,0.89,15748.99,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero3.d ,1,3.183,4.006,4.665,15870.49,171111.66,100,100,100,0.296,,0,0,,,,,1.16,0,0.85,17775.25,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-2.d ,1,3.186,4.116,5.039,7249.08,175021.8,100,100,100,0.583,,0,0,,,,,0,313.09,0.57,8165.29,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-1.d ,1,3.187,3.979,4.669,15663.04,189057.16,100,100,100,0.513,,0,0,,,,,0,0,0.89,25258.33,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-3.d ,1,3.186,3.999,4.668,18333.03,212226.67,100,100,100,0.406,,0,345.09,,,,,0,18,0.88,23948.37,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero2.d ,1,3.186,3.999,4.88,18253.37,212536.83,100,100,100,0.299,,0,203.72,,,,,13.06,11.47,0.8,25446.31,,,  ,248.9694,,,,,,,,,,,
