F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2204-2304\RC\221025_malic_enzyme\0p-2.d ,1,3.185,4.399,5.461,128.32,261.61,100,100,100,0.034,,0,0,,,,,19.91,22.93,0.8,0,,28.3,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-3.d ,1,3.362,4.343,5.457,403,1120,100,100,100,2.095,,0,0,0,0,,403,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-3.d ,1,3.521,4.391,5.505,455,2064,100,100,100,1.985,,0,0,0,0,,455,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-1.d ,1,3.185,4.673,5.461,234.13,3964.11,100,100,100,0.282,,0,0,,,,,0,43.82,2.05,1330.38,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-3.d ,1,3.292,3.921,5.462,703.93,5645.81,100,100,100,0.134,,0,0,,,,,0,28.77,0.82,348.37,,,  ,664.117,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-1.d ,1,3.187,3.922,4.922,628.72,6949.68,100,100,100,0.351,,0,0,,,,,0,0,0.37,0,,18,  ,664.117,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-1.d ,1,3.187,3.931,5.463,644.21,8439.92,100,100,100,0.218,,0,0,,,,,0,12.94,0.75,0,,,  ,664.117,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-2.d ,1,3.183,4.256,5.459,806.43,10184.99,100,100,100,0.21,,0,0,,,,,15.53,0,0.65,0,,,  ,664.1038,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-2.d ,1,3.188,3.892,5.464,521.58,10677.51,100,100,100,0.485,,0,0,,,,,0,0,0.31,0,,,  ,664.117,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero2.d ,1,3.186,3.911,5.462,975.73,13100.33,100,100,100,0.405,,0,0,,,,,0,23.45,0.06,1292.47,,,  ,664.117,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-1.d ,1,3.287,4.174,5.457,608.03,13535.12,100,100,100,0.371,,0,0,,,,,0,0,0.61,1985.4,,,  ,664.1038,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero3.d ,1,3.289,3.903,5.459,1150.75,14068.49,100,100,100,0.204,,0,0,,,,,0,0,0.62,1994.17,,,  ,664.117,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero1.d ,1,3.177,4.339,5.459,895.73,14638.49,100,100,100,0.592,,0,0,,,,,0,11.03,1.61,1917.17,,,  ,662.1008,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-2.d ,1,3.185,4.166,5.461,784.93,15083.84,100,100,100,0.32,,0,0,,,,,0,10.08,0.73,1136.69,,,  ,664.1038,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-3.d ,1,3.18,4.267,5.456,763.08,15467.12,100,100,100,0.338,,0,0,,,,,0,0,0.82,0,,,  ,664.1038,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-3.d ,1,3.183,4.569,5.459,1161.04,15852.21,100,100,100,0.228,,0,0,,,,,0,0,1.76,0,,,  ,662.1024,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,1,3.384,4.703,5.448,1224.62,21563.76,100,100,100,0.531,,0,0,,,,,0,24.1,1.22,2619.25,,,  ,808.1173,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-2.d ,1,3.184,4.188,5.46,1332.36,28151.87,100,100,100,0.352,,0,0,,,,,0,0,0.86,0,,,  ,664.1038,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-2.d ,1,3.185,4.594,5.461,2318.76,30844.88,100,100,100,0.504,,0,0,,,,,0,57.26,1.81,2788.24,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-1.d ,1,3.17,4.579,5.552,2257.34,32572.24,100,100,100,0.36,,0,0,,,,,0,56.98,2.19,2688.53,,,  ,808.1173,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-3.d ,1,3.182,4.609,5.458,1663.43,33662.01,100,100,100,0.337,,0,0,,,,,0,16.49,1.38,1894.43,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-3.d ,1,3.185,4.606,5.461,2393.37,45356.82,100,100,100,0.483,,0,0,,,,,0,59.92,2.56,0,,,  ,808.1173,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-1.d ,1,3.185,4.605,5.462,4355.62,64430.58,100,100,100,0.247,,0,0,,,,,0,11.7,1.21,3705.3,,,  ,346.0473,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-2.d ,1,3.186,4.375,5.463,5260.32,70506.41,100,100,100,0.223,,0,0,,,,,1.25,0,0.99,0,,,  ,248.9694,,,,,,,,,,,
