F:\2204-2304\RC\221025_malic_enzyme\8hr\00-2.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2204-2304\RC\221025_malic_enzyme\tp-3.d ,1,3.054,3.667,4.509,355.24,4541.68,100,100,100,0.349,,0,0,,,,,24,72.06,2.04,0,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-3.d ,1,3.056,3.65,4.511,531.85,5435.4,100,100,100,0.249,,0,0,,,,,44.75,88.15,0,0,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-2.d ,1,3.104,3.71,4.507,371.32,6844.33,100,100,100,0.407,,0,0,,,,,0,128.94,2.79,0,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-2.d ,1,3.105,3.644,4.269,630.19,7709.34,100,100,100,0.283,,0,0,,,,,0,0,0.89,1148.91,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-1.d ,1,3.102,3.934,4.504,1768.58,11832.93,100,100,100,0.225,,0,0,,,,,43.19,0,1.1,3002.87,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-2.d ,1,3.37,3.902,4.508,3317.44,13487.63,100,100,100,0.115,,0,0,,,,,0,27.69,0.85,3749.93,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-3.d ,1,3.367,3.894,4.505,4998.69,17407.45,100,100,100,0.166,,0,0,,,,,0,21.87,2.13,5374.99,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-1.d ,1,3.567,3.89,4.493,4807.02,20060.66,100,100,100,0.07,,0,0,,,,,0,2.06,0.96,4682.44,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-3.d ,1,3.101,3.956,4.504,1062.56,20070.34,100,100,100,0.357,,0,0,,,,,0,0,1.11,2063.13,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-1.d ,1,3.053,3.907,4.509,6370.67,20075.04,100,100,100,0.053,,0,541.78,,,,,48.38,114.36,0.99,6228.67,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-2.d ,1,3.582,3.896,4.508,5218.27,22740.56,100,100,100,0.073,,0,0,,,,,0,47.25,1.02,5437.76,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-2.d ,1,3.054,3.659,4.51,3306.82,24053.39,100,100,100,0.221,,0,0,,,,,0,3.19,0.81,4085.3,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-1.d ,1,3.105,3.682,4.202,5275.94,32347.36,100,100,100,0.242,,0,0,,,,,0,0,1.37,5423.73,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-2.d ,1,3.158,3.891,4.275,7087.01,33997.29,100,100,100,0.08,,0,0,,,,,0,0,1.09,7429.05,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero3.d ,1,3.104,3.645,4.043,7131.59,35079.12,100,100,100,0.244,,0,0,,,,,0,0,1.24,10017.38,,,  ,104.0307,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero1.d ,1,3.098,3.655,4.504,5438.5,39414.94,100,100,100,0.266,,0,0,,,,,24.5,0,0.89,10080.63,,,  ,104.0307,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero2.d ,1,3.054,3.645,4.102,8577.11,42480.19,100,100,100,0.242,,0,0,,,,,0,0,1.38,11994.96,,,  ,104.0307,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-3.d ,1,3.103,3.896,4.506,10366.38,44130.17,100,100,100,0.244,,0,0,,,,,0,26.19,1.46,12975.35,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-3.d ,1,3.265,3.899,4.509,10415.77,44938.61,100,100,100,0.206,,0,0,,,,,0,0,1.49,12683.45,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-2.d ,1,3.056,3.648,4.511,12380.85,57795.95,100,100,100,0.193,,0,0,,,,,39.88,0,0.95,16937.81,,,  ,104.0307,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-3.d ,1,3.054,3.646,4.51,12247.21,60372.39,100,100,100,0.132,,0,0,,,,,0,0,0.8,16284.67,,,  ,104.0307,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-1.d ,1,3.054,3.648,4.325,14239.07,65870.34,100,100,100,0.232,,0,0,,,,,55,19.94,0.7,20909.3,,,  ,237.0875,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-1.d ,1,3.054,3.641,4.069,18681.27,73634.17,100,100,100,0.231,,0,0,,,,,0,0,1.07,19244.66,,,  ,248.9694,,,,,,,,,,,
