sample,malate,pyruvate,serine,glycine,NADH,coa,acetylcoa,succinate,fumarate,citrate,atp,glyoxylate,alanine,aspartate,lysine,valine,oxobutanoate,hydroxyglutarate
00_8hr,0.007351885,0.041561638,0.18068295784667252,,0.11410554393934305,,0.053708957,,0.001698041,0.037459192134828505,0.10553042521927317,,0.000479875,,,,,0.085489247
0P_8hr,0.046151529676744636,0.041596367,0.21387938436486914,,0.5203161378323625,,0.11789848748671115,,0.003322825,0.050103119,,,0.002642682,,,,,0.035349245
0P_4hr,,,,,,,0.5013197999987412,,0.008916729,0.29709870977132524,,,,,,,,0.13559847058022553
E_N_0_20x,,,,,,,,,,,,,,,,,,
E_N_1_20x,,,,,,,,,,,,,,,,,,
E_N_2_20x,,,,,,,,,,,,,,,,,,
E_N_3_20x,,,,,,,,,,,,,,,,,,
E_N_4_20x,,,,,,,,,,,,,,,,,,
HCT,0.089372289,,,0.012737882252671586,,0.075936973,0.052042232,0.3967949611989483,0.002527195,0.038332824234134685,0.035293116791448774,,0.050061822,0.004081817,,0.13523852916013815,,0.058668190063286024
HCT_dil,0.010642537,1.3646177436831912,,,,0.039430545,0.6058119079997406,0.10044878925047217,0.006283303,0.18461079736343405,0.8687270210953263,,0.049383574,,,0.22882884900704917,,
NI_0min,,,,,0.003233361,0.001080307,0.003776702,,0.000161228,0.013863695277934636,,,,,,,,
NI_1hr,,0.018570556895286746,,,1.4127934444717807,0.2674487433561817,1.0211370696916746,,0.000616435,0.20084501654519357,0.23064212383482838,,,,0.003028473,0.011214170765326442,,
NI_2hr,0.00509174,0.027949740850632614,,,0.2640666272551088,0.065001953,0.21031201996603208,,0.000259069,0.029314947055976183,0.17919566725758904,,,,0.005743492,0.021679069533776338,,
NI_30min,,0.014845228,,,0.4173326941813115,0.035768117,0.32089261523398943,,0.000238276,0.043754562,0.24457209324349324,,,,0.008993881,0.030245561,,
NI_4hr,0.014549164927921254,0.009684644,,,0.1796056907578814,0.12972486837108704,0.087578038,,0.000850573,0.017908932566370512,0.1469027569994785,,,,0.005400047,0.014707640357151105,,
N_00,,,,,,,,,,,,,,,,,,
N_01,,,,,,,,,,,,,,,,,,
N_02,,,,,,,,,,,,,,,,,,
N_03,,,,,,,,,,,,,,,,,,
N_04,,,,,,,,,,,,,,,,,,
N_05,,,,,,,,,,,,,,,,,,
N_06,,,,,,,,,,,,,,,,,,
N_07,,,,,,,,,,,,,,,,,,
N_N_0_20x,,,,,,,,,,,,,,,,,,
N_N_1_20x,,,,,,,,,,,,,,,,,,
N_N_2_20x,,,,,,,,,,,,,,,,,,
N_N_3_20x,,,,,,,,,,,,,,,,,,
N_N_4_20x,,,,,,,,,,,,,,,,,,
PI_0min,,,,,1.2979712158469123,0.22769006102216682,0.7553299130206822,,0.000403924,0.1722119359741884,0.7572346328270222,,,,,,,
PI_1hr,0.006166166,0.011389276314712348,,,0.050630361,0.010120248598306063,0.018066950391925792,,0.000506046,0.014118321241637994,0.052994878727340045,,,,0.002067879,0.007508465,,
PI_2hr,0.002516225,0.00953655,,,0.12770247513848385,0.035153727,0.065647059,,0.000282541,0.012811666067109227,0.059319974,,,,0.001688636,0.006233827,,
PI_30min,0.002148739,0.008512076,,,0.073560037,0.020654581,0.035284412,,0.0001882,0.018549672,0.093568229,,,,0.003937314,0.008736724,,
PI_4hr,0.021473722013028263,0.035024444987874354,,,0.086264675,0.12208378334205383,0.19209052420569808,,0.000808549,0.015591524921219261,0.033058876,,,,0.012438967402497154,0.036253883,,
R_00,,,,,,,,,,,,,,,,,,
R_01,,,,,,,,,,,,,,,,,,
R_02,,,,,,,,,,,,,,,,,,
R_03,,,,,,,,,,,,,,,,,,
R_04,,,,,,,,,,,,,,,,,,
R_05,,,,,,,,,,,,,,,,,,
R_06,,,,,,,,,,,,,,,,,,
R_07,,,,,,,,,,,,,,,,,,
T0_8hr,0.003322317,0.23444211372788268,0.087855449,,0.17070012718857222,0.3448988908034937,0.066263937,,0.000645858,0.2096575200198278,,,0.000367484,,,,,0.071021445
TP_8hr,0.07447978,0.2177417298647879,0.19895635892624197,,0.906294554,0.4291003517659102,0.20788070719425314,,0.003609021,0.1857386997752964,0.14215893833310683,,0.001861606,,0.001890652,0.030169351,,0.076700533
dil,,0.5988672049700129,,0.011693658289733117,,0.004437787,0.3629983677816821,0.048536509,0.000979832,,0.6712370776317387,,0.010409341710337916,,,0.04115729,,
empty_0,0.016195095343801626,,0.003451413,,,,0.000156839,0.011740047,0.000266953,,,,0.001999303,0.00373882,0.004275387,0.007209416,,0.013707886050598703
empty_120,,,,0.000786154,,0.000382286,,,5.0405345937620525e-06,,,,0.005511784,,,,,
empty_240,0.013774290146504596,,0.003199196,0.12176615785840401,,,,,0.000102162,,,,0.001668392,,0.006838366,0.020979299042185654,,0.01134496
empty_30,0.020572705,,0.004052032,,,,0.00011768,0.01353446,0.000893136,,,,0.004346842,0.005556323,0.024938315,0.071722829,,0.035795353
empty_480,0.000382568,,0.001923666,0.003988225,,,,,0.000146327,,,0.001778138,0.000373945,0.000993957,0.004293806,0.013265403758976804,,0.003001749
empty_60,,,,,,,,,0.000183548,,,,0.000144504,,,,,
es_1x_1,,,,,,,,,,,,,,,,,,
es_1x_2,,,,,,,,,,,,,,,,,,
es_1x_3,,,,,,,,,,,,,,,,,,
es_1x_4,,,,,,,,,,,,,,,,,,
es_20x_1,,,,,,,,,,,,,,,,,,
es_20x_2,,,,,,,,,,,,,,,,,,
es_20x_3,,,,,,,,,,,,,,,,,,
es_20x_4,,,,,,,,,,,,,,,,,,
es_20x_5,,,,,,,,,,,,,,,,,,
gly_0,0.009274736,,0.002270876,,,,,0.007684341,0.000645548,,,0.014159693643849329,0.006594967,0.000712413,0.001320297,0.011962307018593701,,0.004514218
gly_30,0.081088621,,,0.022513372473416962,,,,,0.003260163,,,,0.022680134071375903,,,,,
gly_120,0.002123198,,0.001840697,0.051830137,,,,,0.000426915,,,,0.005977881,0.002544495,0.009514696,0.033990219,,0.016922560285016767
gly_240,0.001543417,,0.000384424,0.093199234,,,,,0.000641716,,,0.016187920184102124,0.005391559,0.001924205,0.008654978,0.030123218772623802,,0.006094185
gly_480,0.055438546919131776,,0.000915357,0.14317934002449528,,,,,0.002611624,,,0.016940179,0.006432629,0.000150095,0.000998682,0.003249844,,0.000528521
