KEGG ID,Label
C00354,FBP
C05345,b-F6P
C00092,G6P
C00103,a-G1P
C00042,Suc
C00001,H2O
C00091,Suc-CoA
C00199,Ru5P
C05382,SH7P
C00231,X5P
C00085,F6P
C00668,a-G6P
C00369,Glycogen
C05378,b-F6P
C00158,Cit
C00311,IsoCit
C00417,c-Acon
C00003,NAD+
C00037,Gly
C00101,THF
C00004,NADH
C00011,CO2
C00014,NH3
C00080,H+
C00143,"5,10-CH2-THF"
C05167,a-AAc
C00161,2-OxoAc
C00118,GA3P
C00279,E4P
C00009,PO4-
C00718,Amylose
C00010,CoA
C00322,2-Oxoadipate
C00527,Glutaryl-CoA
C00065,Ser
C02218,Dha
C00022,Pyr
C00026,a-KG
C00002,ATP
C00008,ADP
C16255,S-adhlam-E
C00081,ITP
C00345,6PG
C00013,PPi
C00036,Oxa
C00104,IDP
C06157,S-Glutdhlam-E
C02232,b-KA-CoA
C00111,DHAP
C16636,tRNA(Sec)
C00020,AMP
C06481,L-Seryl-tRNA(Sec)
C02553,L-Seryl-tRNA(Ser)
C01650,tRNA(Ser)
C04377,"5,10-MTHMPT"
C01217,THMPT
C00074,PEP
C00044,GTP
C00035,GDP
C00063,CTP
C00112,CDP
C00075,UTP
C00015,UDP
C00131,dATP
C00361,dGDP
C00201,NTP
C00454,NDP
C15972,LAm-E
C00024,Ac-CoA
C00149,Mal
C00122,Fum
C03090,PRA
C03838,GAR
C05729,CysGly-S
C05726,Cys-S
C01419,CysGly
C00097,Cys
C03508,2A-3OxoBAc
C02051,LipoylP
C01642,tRNA(Gly)
C02412,Glycyl-tRNA(Gly)
C00669,5-GlutCys
C01242,[H-protein]-S8...
C00051,GSH
C00286,dGTP
C00068,ThPP
C00206,dADP
C05125,2-HE-ThPP
C00005,NADPH
C00006,NADP+
C00025,Glu
C00040,Acyl-CoA
C00041,Ala
C00048,Glyox
C00083,Malo-CoA
C00100,Propa-CoA
C00988,2-PG
C01209,Malo-[ACP]
C03444,PCMB
C04284,HQNO
C00447,SBP
C07118,BenzAcet-CoA
C16254,S-SDHLA-E
C16339,IsojasAc-CoA
C00249,PalmAc
C01213,MetMalo-CoA
C11592,DEPC
C05625,Rutin
C20679,H2WO4
C01271,HAcyl-ACP
C05744,AceAyl-ACP
C05749,Hexan-ACP
C00390,QH2
C00197,3-PGA
