bigg_id,name,database_links,kegg,ec,rhea
DM_4crsol_c,Sink needed to allow p-Cresol to leave system,RHEA: http://identifiers.org/rhea/35071; RHEA: http://identifiers.org/rhea/35072; RHEA: http://identifiers.org/rhea/35073; RHEA: http://identifiers.org/rhea/35074; BioCyc: http://identifiers.org/biocyc/META:TRANS-RXN0-500; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR96888,,,35074
EX_3hpp_e,3-Hydroxypropanoate exchange,RHEA: http://identifiers.org/rhea/34951; RHEA: http://identifiers.org/rhea/34952; RHEA: http://identifiers.org/rhea/34953; RHEA: http://identifiers.org/rhea/34954; BioCyc: http://identifiers.org/biocyc/META:TRANS-RXN0-465; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR94904,,,34954
EX_LalaDglu_e,L-alanine-D-glutamate exchange,RHEA: http://identifiers.org/rhea/35127; RHEA: http://identifiers.org/rhea/35128; RHEA: http://identifiers.org/rhea/35129; RHEA: http://identifiers.org/rhea/35130; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR101003,,,35130
EX_arbt_e,Arbutin exchange,RHEA: http://identifiers.org/rhea/35023; RHEA: http://identifiers.org/rhea/35024; RHEA: http://identifiers.org/rhea/35025; RHEA: http://identifiers.org/rhea/35026; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR95933,,,35026
EX_btn_e,Biotin exchange,RHEA: http://identifiers.org/rhea/28458; RHEA: http://identifiers.org/rhea/28459; RHEA: http://identifiers.org/rhea/28460; RHEA: http://identifiers.org/rhea/28461; BioCyc: http://identifiers.org/biocyc/META:TRANS-RXN0-240; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR96333,,,28461
EX_ca2_e,Calcium exchange,RHEA: http://identifiers.org/rhea/29671; RHEA: http://identifiers.org/rhea/29672; RHEA: http://identifiers.org/rhea/29673; RHEA: http://identifiers.org/rhea/29674; EC Number: http://identifiers.org/ec-code/3.6.3.8; BioCyc: http://identifiers.org/biocyc/META:TRANS-RXN-144; BioCyc: http://identifiers.org/biocyc/META:TRANS-RXN0-497; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR96436; Reactome Reaction: http://identifiers.org/reactome/R-ATH-2685505; Reactome Reaction: http://identifiers.org/reactome/R-ATH-418309; Reactome Reaction: http://identifiers.org/reactome/R-BTA-139854; Reactome Reaction: http://identifiers.org/reactome/R-BTA-139855; Reactome Reaction: http://identifiers.org/reactome/R-BTA-2089943; Reactome Reaction: http://identifiers.org/reactome/R-BTA-210420; Reactome Reaction: http://identifiers.org/reactome/R-BTA-2534359; Reactome Reaction: http://identifiers.org/reactome/R-BTA-265645; Reactome Reaction: http://identifiers.org/reactome/R-BTA-2685505; Reactome Reaction: http://identifiers.org/reactome/R-BTA-2855020; Reactome Reaction: http://identifiers.org/reactome/R-BTA-3295579; Reactome Reaction: http://identifiers.org/reactome/R-BTA-418309; Reactome Reaction: http://identifiers.org/reactome/R-BTA-432164; Reactome Reaction: http://identifiers.org/reactome/R-BTA-5263618; Reactome Reaction: http://identifiers.org/reactome/R-BTA-5577213; Reactome Reaction: http://identifiers.org/reactome/R-CEL-139854; Reactome Reaction: http://identifiers.org/reactome/R-CEL-2089943; Reactome Reaction: http://identifiers.org/reactome/R-CEL-265645; Reactome Reaction: http://identifiers.org/reactome/R-CEL-3295579; Reactome Reaction: http://identifiers.org/reactome/R-CEL-418309; Reactome Reaction: http://identifiers.org/reactome/R-CEL-432164; Reactome Reaction: http://identifiers.org/reactome/R-CEL-5263618; Reactome Reaction: http://identifiers.org/reactome/R-CFA-139854; Reactome Reaction: http://identifiers.org/reactome/R-CFA-139855; Reactome Reaction: http://identifiers.org/reactome/R-CFA-2089943; Reactome Reaction: http://identifiers.org/reactome/R-CFA-210420; Reactome Reaction: http://identifiers.org/reactome/R-CFA-2534359; Reactome Reaction: http://identifiers.org/reactome/R-CFA-265645; Reactome Reaction: http://identifiers.org/reactome/R-CFA-2685505; Reactome Reaction: http://identifiers.org/reactome/R-CFA-2855020; Reactome Reaction: http://identifiers.org/reactome/R-CFA-3295579; Reactome Reaction: http://identifiers.org/reactome/R-CFA-418309; Reactome Reaction: http://identifiers.org/reactome/R-CFA-432164; Reactome Reaction: http://identifiers.org/reactome/R-CFA-5263618; Reactome Reaction: http://identifiers.org/reactome/R-CFA-5577213; Reactome Reaction: http://identifiers.org/reactome/R-DDI-2685505; Reactome Reaction: http://identifiers.org/reactome/R-DDI-3295579; Reactome Reaction: http://identifiers.org/reactome/R-DDI-418309; Reactome Reaction: http://identifiers.org/reactome/R-DME-139854; Reactome Reaction: http://identifiers.org/reactome/R-DME-2089943; Reactome Reaction: http://identifiers.org/reactome/R-DME-3295579; Reactome Reaction: http://identifiers.org/reactome/R-DME-418309; Reactome Reaction: http://identifiers.org/reactome/R-DME-432164; Reactome Reaction: http://identifiers.org/reactome/R-DME-434802; Reactome Reaction: http://identifiers.org/reactome/R-DME-5263618; Reactome Reaction: http://identifiers.org/reactome/R-DRE-139854; Reactome Reaction: http://identifiers.org/reactome/R-DRE-139855; Reactome Reaction: http://identifiers.org/reactome/R-DRE-2089943; Reactome Reaction: http://identifiers.org/reactome/R-DRE-210420; Reactome Reaction: http://identifiers.org/reactome/R-DRE-265645; Reactome Reaction: http://identifiers.org/reactome/R-DRE-2685505; Reactome Reaction: http://identifiers.org/reactome/R-DRE-2855020; Reactome Reaction: http://identifiers.org/reactome/R-DRE-3295579; Reactome Reaction: http://identifiers.org/reactome/R-DRE-418309; Reactome Reaction: http://identifiers.org/reactome/R-DRE-432164; Reactome Reaction: http://identifiers.org/reactome/R-DRE-5263618; Reactome Reaction: http://identifiers.org/reactome/R-DRE-5577213; Reactome Reaction: http://identifiers.org/reactome/R-GGA-139854; Reactome Reaction: http://identifiers.org/reactome/R-GGA-139855; Reactome Reaction: http://identifiers.org/reactome/R-GGA-2089943; Reactome Reaction: http://identifiers.org/reactome/R-GGA-210420; Reactome Reaction: http://identifiers.org/reactome/R-GGA-265645; Reactome Reaction: http://identifiers.org/reactome/R-GGA-2685505; Reactome Reaction: http://identifiers.org/reactome/R-GGA-2855020; Reactome Reaction: http://identifiers.org/reactome/R-GGA-3295579; Reactome Reaction: http://identifiers.org/reactome/R-GGA-418309; Reactome Reaction: http://identifiers.org/reactome/R-GGA-432164; Reactome Reaction: http://identifiers.org/reactome/R-GGA-5263618; Reactome Reaction: http://identifiers.org/reactome/R-GGA-5577213; Reactome Reaction: http://identifiers.org/reactome/R-HSA-139854; Reactome Reaction: http://identifiers.org/reactome/R-HSA-139855; Reactome Reaction: http://identifiers.org/reactome/R-HSA-169683; Reactome Reaction: http://identifiers.org/reactome/R-HSA-2089943; Reactome Reaction: http://identifiers.org/reactome/R-HSA-210420; Reactome Reaction: http://identifiers.org/reactome/R-HSA-2534359; Reactome Reaction: http://identifiers.org/reactome/R-HSA-265645; Reactome Reaction: http://identifiers.org/reactome/R-HSA-2685505; Reactome Reaction: http://identifiers.org/reactome/R-HSA-2855020; Reactome Reaction: http://identifiers.org/reactome/R-HSA-3295579; Reactome Reaction: http://identifiers.org/reactome/R-HSA-418309; Reactome Reaction: http://identifiers.org/reactome/R-HSA-432164; Reactome Reaction: http://identifiers.org/reactome/R-HSA-434798; Reactome Reaction: http://identifiers.org/reactome/R-HSA-4420052; Reactome Reaction: http://identifiers.org/reactome/R-HSA-5263618; Reactome Reaction: http://identifiers.org/reactome/R-HSA-5577213; Reactome Reaction: http://identifiers.org/reactome/R-HSA-8863009; Reactome Reaction: http://identifiers.org/reactome/R-MMU-139854; Reactome Reaction: http://identifiers.org/reactome/R-MMU-139855; Reactome Reaction: http://identifiers.org/reactome/R-MMU-2089943; Reactome Reaction: http://identifiers.org/reactome/R-MMU-210420; Reactome Reaction: http://identifiers.org/reactome/R-MMU-2534359; Reactome Reaction: http://identifiers.org/reactome/R-MMU-265645; Reactome Reaction: http://identifiers.org/reactome/R-MMU-2685505; Reactome Reaction: http://identifiers.org/reactome/R-MMU-2855020; Reactome Reaction: http://identifiers.org/reactome/R-MMU-3295579; Reactome Reaction: http://identifiers.org/reactome/R-MMU-418309; Reactome Reaction: http://identifiers.org/reactome/R-MMU-432164; Reactome Reaction: http://identifiers.org/reactome/R-MMU-5263618; Reactome Reaction: http://identifiers.org/reactome/R-MMU-5577213; Reactome Reaction: http://identifiers.org/reactome/R-OSA-2685505; Reactome Reaction: http://identifiers.org/reactome/R-OSA-418309; Reactome Reaction: http://identifiers.org/reactome/R-RNO-139854; Reactome Reaction: http://identifiers.org/reactome/R-RNO-139855; Reactome Reaction: http://identifiers.org/reactome/R-RNO-182097; Reactome Reaction: http://identifiers.org/reactome/R-RNO-2089943; Reactome Reaction: http://identifiers.org/reactome/R-RNO-210420; Reactome Reaction: http://identifiers.org/reactome/R-RNO-2534359; Reactome Reaction: http://identifiers.org/reactome/R-RNO-265645; Reactome Reaction: http://identifiers.org/reactome/R-RNO-2685505; Reactome Reaction: http://identifiers.org/reactome/R-RNO-2855020; Reactome Reaction: http://identifiers.org/reactome/R-RNO-3295579; Reactome Reaction: http://identifiers.org/reactome/R-RNO-418309; Reactome Reaction: http://identifiers.org/reactome/R-RNO-432164; Reactome Reaction: http://identifiers.org/reactome/R-RNO-5263618; Reactome Reaction: http://identifiers.org/reactome/R-RNO-5577213; Reactome Reaction: http://identifiers.org/reactome/R-SCE-418309; Reactome Reaction: http://identifiers.org/reactome/R-SPO-418309; Reactome Reaction: http://identifiers.org/reactome/R-SSC-139854; Reactome Reaction: http://identifiers.org/reactome/R-SSC-139855; Reactome Reaction: http://identifiers.org/reactome/R-SSC-2089943; Reactome Reaction: http://identifiers.org/reactome/R-SSC-210420; Reactome Reaction: http://identifiers.org/reactome/R-SSC-2534359; Reactome Reaction: http://identifiers.org/reactome/R-SSC-265645; Reactome Reaction: http://identifiers.org/reactome/R-SSC-2685505; Reactome Reaction: http://identifiers.org/reactome/R-SSC-2855020; Reactome Reaction: http://identifiers.org/reactome/R-SSC-3295579; Reactome Reaction: http://identifiers.org/reactome/R-SSC-418309; Reactome Reaction: http://identifiers.org/reactome/R-SSC-432164; Reactome Reaction: http://identifiers.org/reactome/R-SSC-5263618; Reactome Reaction: http://identifiers.org/reactome/R-SSC-5577213; Reactome Reaction: http://identifiers.org/reactome/R-TGU-139854; Reactome Reaction: http://identifiers.org/reactome/R-TGU-139855; Reactome Reaction: http://identifiers.org/reactome/R-TGU-2089943; Reactome Reaction: http://identifiers.org/reactome/R-TGU-210420; Reactome Reaction: http://identifiers.org/reactome/R-TGU-265645; Reactome Reaction: http://identifiers.org/reactome/R-TGU-2685505; Reactome Reaction: http://identifiers.org/reactome/R-TGU-2855020; Reactome Reaction: http://identifiers.org/reactome/R-TGU-3295579; Reactome Reaction: http://identifiers.org/reactome/R-TGU-418309; Reactome Reaction: http://identifiers.org/reactome/R-TGU-432164; Reactome Reaction: http://identifiers.org/reactome/R-TGU-5263618; Reactome Reaction: http://identifiers.org/reactome/R-TGU-5577213; Reactome Reaction: http://identifiers.org/reactome/R-XTR-139854; Reactome Reaction: http://identifiers.org/reactome/R-XTR-139855; Reactome Reaction: http://identifiers.org/reactome/R-XTR-2089943; Reactome Reaction: http://identifiers.org/reactome/R-XTR-210420; Reactome Reaction: http://identifiers.org/reactome/R-XTR-265645; Reactome Reaction: http://identifiers.org/reactome/R-XTR-2685505; Reactome Reaction: http://identifiers.org/reactome/R-XTR-2855020; Reactome Reaction: http://identifiers.org/reactome/R-XTR-3295579; Reactome Reaction: http://identifiers.org/reactome/R-XTR-418309; Reactome Reaction: http://identifiers.org/reactome/R-XTR-432164; Reactome Reaction: http://identifiers.org/reactome/R-XTR-5263618; Reactome Reaction: http://identifiers.org/reactome/R-XTR-5577213; SEED Reaction: http://identifiers.org/seed.reaction/rxn08186,,3.6.3.8,29674
EX_cl_e,Chloride exchange,RHEA: http://identifiers.org/rhea/29823; RHEA: http://identifiers.org/rhea/29824; RHEA: http://identifiers.org/rhea/29825; RHEA: http://identifiers.org/rhea/29826; BioCyc: http://identifiers.org/biocyc/META:TRANS-RXN-139; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR96797; Reactome Reaction: http://identifiers.org/reactome/R-ATH-2684901; Reactome Reaction: http://identifiers.org/reactome/R-ATH-427570; Reactome Reaction: http://identifiers.org/reactome/R-BTA-2684901; Reactome Reaction: http://identifiers.org/reactome/R-BTA-2744228; Reactome Reaction: http://identifiers.org/reactome/R-BTA-2744242; Reactome Reaction: http://identifiers.org/reactome/R-BTA-2744349; Reactome Reaction: http://identifiers.org/reactome/R-BTA-2744361; Reactome Reaction: http://identifiers.org/reactome/R-BTA-427570; Reactome Reaction: http://identifiers.org/reactome/R-BTA-975340; Reactome Reaction: http://identifiers.org/reactome/R-BTA-975389; Reactome Reaction: http://identifiers.org/reactome/R-BTA-975449; Reactome Reaction: http://identifiers.org/reactome/R-CEL-2684901; Reactome Reaction: http://identifiers.org/reactome/R-CEL-2744228; Reactome Reaction: http://identifiers.org/reactome/R-CEL-2744361; Reactome Reaction: http://identifiers.org/reactome/R-CEL-427570; Reactome Reaction: http://identifiers.org/reactome/R-CEL-975340; Reactome Reaction: http://identifiers.org/reactome/R-CEL-975389; Reactome Reaction: http://identifiers.org/reactome/R-CFA-2684901; Reactome Reaction: http://identifiers.org/reactome/R-CFA-2744228; Reactome Reaction: http://identifiers.org/reactome/R-CFA-2744242; Reactome Reaction: http://identifiers.org/reactome/R-CFA-2744349; Reactome Reaction: http://identifiers.org/reactome/R-CFA-2744361; Reactome Reaction: http://identifiers.org/reactome/R-CFA-427570; Reactome Reaction: http://identifiers.org/reactome/R-CFA-975340; Reactome Reaction: http://identifiers.org/reactome/R-CFA-975389; Reactome Reaction: http://identifiers.org/reactome/R-CFA-975449; Reactome Reaction: http://identifiers.org/reactome/R-DDI-2684901; Reactome Reaction: http://identifiers.org/reactome/R-DDI-2744228; Reactome Reaction: http://identifiers.org/reactome/R-DDI-427570; Reactome Reaction: http://identifiers.org/reactome/R-DME-2684901; Reactome Reaction: http://identifiers.org/reactome/R-DME-2744228; Reactome Reaction: http://identifiers.org/reactome/R-DME-2744242; Reactome Reaction: http://identifiers.org/reactome/R-DME-2744349; Reactome Reaction: http://identifiers.org/reactome/R-DME-2744361; Reactome Reaction: http://identifiers.org/reactome/R-DME-427570; Reactome Reaction: http://identifiers.org/reactome/R-DME-975340; Reactome Reaction: http://identifiers.org/reactome/R-DME-975389; Reactome Reaction: http://identifiers.org/reactome/R-DRE-2684901; Reactome Reaction: http://identifiers.org/reactome/R-DRE-2744228; Reactome Reaction: http://identifiers.org/reactome/R-DRE-2744242; Reactome Reaction: http://identifiers.org/reactome/R-DRE-2744349; Reactome Reaction: http://identifiers.org/reactome/R-DRE-2744361; Reactome Reaction: http://identifiers.org/reactome/R-DRE-975340; Reactome Reaction: http://identifiers.org/reactome/R-DRE-975389; Reactome Reaction: http://identifiers.org/reactome/R-DRE-975449; Reactome Reaction: http://identifiers.org/reactome/R-GGA-2684901; Reactome Reaction: http://identifiers.org/reactome/R-GGA-2744228; Reactome Reaction: http://identifiers.org/reactome/R-GGA-2744242; Reactome Reaction: http://identifiers.org/reactome/R-GGA-2744361; Reactome Reaction: http://identifiers.org/reactome/R-GGA-427570; Reactome Reaction: http://identifiers.org/reactome/R-GGA-975340; Reactome Reaction: http://identifiers.org/reactome/R-GGA-975389; Reactome Reaction: http://identifiers.org/reactome/R-GGA-975449; Reactome Reaction: http://identifiers.org/reactome/R-HSA-2684901; Reactome Reaction: http://identifiers.org/reactome/R-HSA-2744228; Reactome Reaction: http://identifiers.org/reactome/R-HSA-2744242; Reactome Reaction: http://identifiers.org/reactome/R-HSA-2744349; Reactome Reaction: http://identifiers.org/reactome/R-HSA-2744361; Reactome Reaction: http://identifiers.org/reactome/R-HSA-427570; Reactome Reaction: http://identifiers.org/reactome/R-HSA-975340; Reactome Reaction: http://identifiers.org/reactome/R-HSA-975389; Reactome Reaction: http://identifiers.org/reactome/R-HSA-975449; Reactome Reaction: http://identifiers.org/reactome/R-MMU-2684901; Reactome Reaction: http://identifiers.org/reactome/R-MMU-2744228; Reactome Reaction: http://identifiers.org/reactome/R-MMU-2744242; Reactome Reaction: http://identifiers.org/reactome/R-MMU-2744349; Reactome Reaction: http://identifiers.org/reactome/R-MMU-2744361; Reactome Reaction: http://identifiers.org/reactome/R-MMU-427570; Reactome Reaction: http://identifiers.org/reactome/R-MMU-975340; Reactome Reaction: http://identifiers.org/reactome/R-MMU-975389; Reactome Reaction: http://identifiers.org/reactome/R-MMU-975449; Reactome Reaction: http://identifiers.org/reactome/R-OSA-2684901; Reactome Reaction: http://identifiers.org/reactome/R-OSA-427570; Reactome Reaction: http://identifiers.org/reactome/R-PFA-427570; Reactome Reaction: http://identifiers.org/reactome/R-RNO-2684901; Reactome Reaction: http://identifiers.org/reactome/R-RNO-2744228; Reactome Reaction: http://identifiers.org/reactome/R-RNO-2744242; Reactome Reaction: http://identifiers.org/reactome/R-RNO-2744349; Reactome Reaction: http://identifiers.org/reactome/R-RNO-2744361; Reactome Reaction: http://identifiers.org/reactome/R-RNO-427570; Reactome Reaction: http://identifiers.org/reactome/R-RNO-975340; Reactome Reaction: http://identifiers.org/reactome/R-RNO-975389; Reactome Reaction: http://identifiers.org/reactome/R-RNO-975449; Reactome Reaction: http://identifiers.org/reactome/R-SCE-2744228; Reactome Reaction: http://identifiers.org/reactome/R-SCE-427570; Reactome Reaction: http://identifiers.org/reactome/R-SPO-2684901; Reactome Reaction: http://identifiers.org/reactome/R-SSC-2684901; Reactome Reaction: http://identifiers.org/reactome/R-SSC-2744228; Reactome Reaction: http://identifiers.org/reactome/R-SSC-2744242; Reactome Reaction: http://identifiers.org/reactome/R-SSC-2744349; Reactome Reaction: http://identifiers.org/reactome/R-SSC-2744361; Reactome Reaction: http://identifiers.org/reactome/R-SSC-427570; Reactome Reaction: http://identifiers.org/reactome/R-SSC-975340; Reactome Reaction: http://identifiers.org/reactome/R-SSC-975389; Reactome Reaction: http://identifiers.org/reactome/R-SSC-975449; Reactome Reaction: http://identifiers.org/reactome/R-TGU-2684901; Reactome Reaction: http://identifiers.org/reactome/R-TGU-2744228; Reactome Reaction: http://identifiers.org/reactome/R-TGU-2744242; Reactome Reaction: http://identifiers.org/reactome/R-TGU-2744361; Reactome Reaction: http://identifiers.org/reactome/R-TGU-427570; Reactome Reaction: http://identifiers.org/reactome/R-TGU-975340; Reactome Reaction: http://identifiers.org/reactome/R-TGU-975389; Reactome Reaction: http://identifiers.org/reactome/R-TGU-975449; Reactome Reaction: http://identifiers.org/reactome/R-XTR-2684901; Reactome Reaction: http://identifiers.org/reactome/R-XTR-2744228; Reactome Reaction: http://identifiers.org/reactome/R-XTR-2744242; Reactome Reaction: http://identifiers.org/reactome/R-XTR-2744349; Reactome Reaction: http://identifiers.org/reactome/R-XTR-2744361; Reactome Reaction: http://identifiers.org/reactome/R-XTR-427570; Reactome Reaction: http://identifiers.org/reactome/R-XTR-975340; Reactome Reaction: http://identifiers.org/reactome/R-XTR-975389; Reactome Reaction: http://identifiers.org/reactome/R-XTR-975449; SEED Reaction: http://identifiers.org/seed.reaction/rxn08234; SEED Reaction: http://identifiers.org/seed.reaction/rxn10473,,,29826
EX_crn__D_e,D-carnitine exchange,RHEA: http://identifiers.org/rhea/35067; RHEA: http://identifiers.org/rhea/35068; RHEA: http://identifiers.org/rhea/35069; RHEA: http://identifiers.org/rhea/35070; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR96904,,,35070
EX_cu2_e,Cu2+ exchange,RHEA: http://identifiers.org/rhea/28703; RHEA: http://identifiers.org/rhea/28704; RHEA: http://identifiers.org/rhea/28705; RHEA: http://identifiers.org/rhea/28706; BioCyc: http://identifiers.org/biocyc/META:RXN0-14; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR96951; Reactome Reaction: http://identifiers.org/reactome/R-BTA-437300; Reactome Reaction: http://identifiers.org/reactome/R-CFA-437300; Reactome Reaction: http://identifiers.org/reactome/R-DME-437300; Reactome Reaction: http://identifiers.org/reactome/R-DRE-437300; Reactome Reaction: http://identifiers.org/reactome/R-GGA-437300; Reactome Reaction: http://identifiers.org/reactome/R-HSA-437300; Reactome Reaction: http://identifiers.org/reactome/R-MMU-437300; Reactome Reaction: http://identifiers.org/reactome/R-RNO-437300; Reactome Reaction: http://identifiers.org/reactome/R-SCE-437300; Reactome Reaction: http://identifiers.org/reactome/R-SSC-437300; Reactome Reaction: http://identifiers.org/reactome/R-TGU-437300; Reactome Reaction: http://identifiers.org/reactome/R-XTR-437300; SEED Reaction: http://identifiers.org/seed.reaction/rxn05212; SEED Reaction: http://identifiers.org/seed.reaction/rxn08273; SEED Reaction: http://identifiers.org/seed.reaction/rxn08274,,,28706
EX_cys__L_e,L-Cysteine exchange,RHEA: http://identifiers.org/rhea/29655; RHEA: http://identifiers.org/rhea/29656; RHEA: http://identifiers.org/rhea/29657; RHEA: http://identifiers.org/rhea/29658; BioCyc: http://identifiers.org/biocyc/META:RXN0-1924; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR97029; SEED Reaction: http://identifiers.org/seed.reaction/rxn08284; SEED Reaction: http://identifiers.org/seed.reaction/rxn08286; SEED Reaction: http://identifiers.org/seed.reaction/rxn10998,,,29658
