Label,EC,Type,StartingConc,Conc,Mechanisms,Parameters,Relative
C16636,,Metabolite,0.001,,,,v1
C02630,,Metabolite,0.001,,,,v2
C14787,,Metabolite,0.001,,,,v3
C00362,,Metabolite,0.001,,,,v4
C01209,,Metabolite,0.001,,,,v5
C00243,,Metabolite,0.001,,,,v6
C00279,,Metabolite,0,,,,v7
C01346,,Metabolite,0.001,,,,v8
C05993,,Metabolite,0.001,,,,v9
C00559,,Metabolite,0.001,,,,v10
C04419,,Metabolite,0.001,,,,v11
C14805,,Metabolite,0.001,,,,v12
C00073,,Metabolite,0.001,,,,v13
C04732,,Metabolite,0.001,,,,v14
C04691,,Metabolite,0.001,,,,v15
C11907,,Metabolite,0.001,,,,v16
C00534,,Metabolite,0.001,,,,v17
C11838,,Metabolite,0.001,,,,v18
C00097,,Metabolite,0.001,,,,v19
C00934,,Metabolite,0.001,,,,v20
C00161,,Metabolite,0.001,,,,v21
C01612,,Metabolite,0.001,,,,v22
C00092,,Metabolite,5,,,,v23
C05751,,Metabolite,0.001,,,,v24
C00320,,Metabolite,0.001,,,,v25
C04823,,Metabolite,0.001,,,,v26
C02702,,Metabolite,0.001,,,,v27
C05748,,Metabolite,0.001,,,,v28
C01419,,Metabolite,0.001,,,,v29
C00966,,Metabolite,0.001,,,,v30
C05749,,Metabolite,0.001,,,,v31
C15556,,Metabolite,0.001,,,,v32
C00299,,Metabolite,0.001,,,,v33
C05686,,Metabolite,0.001,,,,v34
C00137,,Metabolite,0.001,,,,v35
C00020,,Metabolite,0.001,,,,v36
C14786,,Metabolite,0.001,,,,v37
C00250,,Metabolite,0.001,,,,v38
C00103,,Metabolite,0.001,,,,v39
C00314,,Metabolite,0.001,,,,v40
C11440,,Metabolite,0.001,,,,v41
C05726,,Metabolite,0.001,,,,v42
C16153,,Metabolite,0.001,,,,v43
C00009,,Metabolite,0.001,,,,v44
C00027,,Metabolite,0.001,,,,v45
C03356,,Metabolite,0.001,,,,v46
C00911,,Metabolite,0.001,,,,v47
C14800,,Metabolite,0.001,,,,v48
C00672,,Metabolite,0.001,,,,v49
C01335,,Metabolite,0.001,,,,v50
C00002,,Metabolite,0.001,,,,v51
C04058,,Metabolite,0.001,,,,v52
C05758,,Metabolite,0.001,,,,v53
C15973,,Metabolite,0.001,,,,v54
C11453,,Metabolite,0.001,,,,v55
C00522,,Metabolite,0.001,,,,v56
C01672,,Metabolite,0.001,,,,v57
C00089,,Metabolite,0.001,,,,v58
C00385,,Metabolite,0.001,,,,v59
C04377,,Metabolite,0.001,,,,v60
C00620,,Metabolite,0.001,,,,v61
C01929,,Metabolite,0.001,,,,v62
C00736,,Metabolite,0.001,,,,v63
C15547,,Metabolite,0.001,,,,v64
C14791,,Metabolite,0.001,,,,v65
C00120,,Metabolite,0.001,,,,v66
C00242,,Metabolite,0.001,,,,v67
C00015,,Metabolite,0.001,,,,v68
C01165,,Metabolite,0.001,,,,v69
C01322,,Metabolite,0.001,,,,v70
C03546,,Metabolite,0.001,,,,v71
C01102,,Metabolite,0.001,,,,v72
C04246,,Metabolite,0.001,,,,v73
C00053,,Metabolite,0.001,,,,v74
C00022,,Metabolite,0,,,,v75
C06613,,Metabolite,0.001,,,,v76
C02320,,Metabolite,0.001,,,,v77
C00217,,Metabolite,0.001,,,,v78
C05125,,Metabolite,0.001,,,,v79
C02972,,Metabolite,0.001,,,,v80
C16254,,Metabolite,0.001,,,,v81
C00077,,Metabolite,0.001,,,,v82
C14793,,Metabolite,0.001,,,,v83
C04640,,Metabolite,0.001,,,,v84
C03972,,Metabolite,0.001,,,,v85
C00254,,Metabolite,0.001,,,,v86
C00063,,Metabolite,0.001,,,,v87
C04882,,Metabolite,0.001,,,,v88
C02355,,Metabolite,0.001,,,,v89
C05698,,Metabolite,0.001,,,,v90
C01267,,Metabolite,0.001,,,,v91
C03692,,Metabolite,0.001,,,,v92
C01112,,Metabolite,0.001,,,,v93
C02218,,Metabolite,0.001,,,,v94
C00111,,Metabolite,0.37,,,,v95
C00153,,Metabolite,0.001,,,,v96
C04619,,Metabolite,0.001,,,,v97
C05688,,Metabolite,0.001,,,,v98
C00091,,Metabolite,0.23,,,,v99
C01100,,Metabolite,0.001,,,,v100
C00167,,Metabolite,0.001,,,,v101
C00668,,Metabolite,0.001,,,,v102
C00104,,Metabolite,0.001,,,,v103
C00159,,Metabolite,0.001,,,,v104
C11437,,Metabolite,0.001,,,,v105
C02051,,Metabolite,0.001,,,,v106
C04442,,Metabolite,0,,,,v107
C00884,,Metabolite,0.001,,,,v108
C01444,,Metabolite,0.001,,,,v109
C14802,,Metabolite,0.001,,,,v110
C16664,,Metabolite,0.001,,,,v111
C04284,,Metabolite,0.001,,,,v112
C05528,,Metabolite,0.001,,,,v113
C01721,,Metabolite,0.001,,,,v114
C16832,,Metabolite,0.001,,,,v115
C00454,,Metabolite,0.001,,,,v116
C05684,,Metabolite,0.001,,,,v117
C16595,,Metabolite,0.001,,,,v118
C03419,,Metabolite,0.001,,,,v119
C00286,,Metabolite,0.001,,,,v120
C00234,,Metabolite,0.001,,,,v121
C00627,,Metabolite,0.001,,,,v122
C00389,,Metabolite,0.001,,,,v123
C01642,,Metabolite,0.001,,,,v124
C00251,,Metabolite,0.001,,,,v125
C12215,,Metabolite,0.001,,,,v126
C00075,,Metabolite,0.001,,,,v127
C16220,,Metabolite,0.001,,,,v128
C00615,,Metabolite,0.001,,,,v129
C01190,,Metabolite,0.001,,,,v130
C06135,,Metabolite,0.001,,,,v131
C06148,,Metabolite,0.001,,,,v132
C05923,,Metabolite,0.001,,,,v133
C16239,,Metabolite,0.001,,,,v134
C00151,,Metabolite,0.001,,,,v135
C16551,,Metabolite,0.001,,,,v136
C15998,,Metabolite,0.001,,,,v137
C14840,,Metabolite,0.001,,,,v138
C03939,,Metabolite,0.001,,,,v139
C03175,,Metabolite,0.001,,,,v140
C00579,,Metabolite,0.001,,,,v141
C05764,,Metabolite,0.001,,,,v142
C00253,,Metabolite,0.001,,,,v143
C02987,,Metabolite,0.001,,,,v144
C00082,,Metabolite,0.001,,,,v145
C14855,,Metabolite,0.001,,,,v146
C00101,,Metabolite,0.001,,,,v147
C03120,,Metabolite,0.001,,,,v148
C05526,,Metabolite,0.001,,,,v149
C00455,,Metabolite,0.001,,,,v150
C14865,,Metabolite,0.001,,,,v151
C00386,,Metabolite,0.001,,,,v152
C04884,,Metabolite,0.001,,,,v153
C00046,,Metabolite,0.001,,,,v154
C00124,,Metabolite,0.001,,,,v155
C05747,,Metabolite,0.001,,,,v156
C00010,,Metabolite,1.4,,,,v157
C00233,,Metabolite,0.001,,,,v158
C15653,,Metabolite,0.001,,,,v159
C02686,,Metabolite,0.001,,,,v160
C00806,,Metabolite,0.001,,,,v161
C03722,,Metabolite,0.001,,,,v162
C00004,,Metabolite,0.083,,,,v163
C01641,,Metabolite,0.001,,,,v164
C13378,,Metabolite,0.001,,,,v165
C14861,,Metabolite,0.001,,,,v166
C05754,,Metabolite,0.001,,,,v167
C03451,,Metabolite,0.001,,,,v168
C00133,,Metabolite,0.001,,,,v169
C00957,,Metabolite,0.001,,,,v170
C14871,,Metabolite,0.001,,,,v171
C01367,,Metabolite,0.001,,,,v172
C07293,,Metabolite,0.001,,,,v173
C00123,,Metabolite,0.001,,,,v174
C05691,,Metabolite,0.001,,,,v175
C16487,,Metabolite,0.001,,,,v176
C01159,,Metabolite,0.001,,,,v177
C00068,,Metabolite,0.001,,,,v178
C04877,,Metabolite,0.001,,,,v179
C02988,,Metabolite,0.001,,,,v180
C05818,,Metabolite,0.001,,,,v181
C00842,,Metabolite,0.001,,,,v182
C03741,,Metabolite,0.001,,,,v183
C05703,,Metabolite,0.001,,,,v184
C00240,,Metabolite,0.001,,,,v185
C16348,,Metabolite,0.001,,,,v186
C01829,,Metabolite,0.001,,,,v187
C00256,,Metabolite,3.25,,,,v188
C05839,,Metabolite,0.001,,,,v189
C03402,,Metabolite,0.001,,,,v190
C00026,,Metabolite,0.44,,,,v191
C05345,,Metabolite,3.8,,,,v192
C03127,,Metabolite,0.001,,,,v193
C00035,,Metabolite,0.001,,,,v194
C00886,,Metabolite,0.001,,,,v195
C00768,,Metabolite,0.001,,,,v196
C00037,,Metabolite,0.001,,,,v197
C04006,,Metabolite,0.001,,,,v198
C01236,,Metabolite,0,,,,v199
C04618,,Metabolite,0.001,,,,v200
C05713,,Metabolite,0.001,,,,v201
C05697,,Metabolite,0.001,,,,v202
C06037,,Metabolite,0.001,,,,v203
C00881,,Metabolite,0.001,,,,v204
C00360,,Metabolite,0.001,,,,v205
C11592,,Metabolite,0.001,,,,v206
C00147,,Metabolite,0.001,,,,v207
C00127,,Metabolite,0.001,,,,v208
C00179,,Metabolite,0.001,,,,v209
C06398,,Metabolite,0.001,,,,v210
C01755,,Metabolite,0.001,,,,v211
C00864,,Metabolite,0.001,,,,v212
C00794,,Metabolite,0.001,,,,v213
C01647,,Metabolite,0.001,,,,v214
C03071,,Metabolite,0.001,,,,v215
C05198,,Metabolite,0.001,,,,v216
C05394,,Metabolite,0.001,,,,v217
C14874,,Metabolite,0.001,,,,v218
C00330,,Metabolite,0.001,,,,v219
C03511,,Metabolite,0.001,,,,v220
C16633,,Metabolite,0.001,,,,v221
C00005,,Metabolite,0.12,,,,v222
C01977,,Metabolite,0.001,,,,v223
C03232,,Metabolite,0.001,,,,v224
C00255,,Metabolite,0.001,,,,v225
C00086,,Metabolite,0.001,,,,v226
C05757,,Metabolite,0.001,,,,v227
C01250,,Metabolite,0.001,,,,v228
C00183,,Metabolite,0.001,,,,v229
C03263,,Metabolite,0.001,,,,v230
C00631,,Metabolite,0,,,,v231
C00490,,Metabolite,0.001,,,,v232
C06250,,Metabolite,0.001,,,,v233
C11038,,Metabolite,0.001,,,,v234
C00387,,Metabolite,0.001,,,,v235
C00188,,Metabolite,0.001,,,,v236
C00526,,Metabolite,0.001,,,,v237
C04283,,Metabolite,0.001,,,,v238
C01019,,Metabolite,0.001,,,,v239
C02047,,Metabolite,0.001,,,,v240
C00828,,Metabolite,0.001,,,,v241
C00222,,Metabolite,0.001,,,,v242
C16587,,Metabolite,0.001,,,,v243
C05649,,Metabolite,0.001,,,,v244
C00074,,Metabolite,0.18,,,,v245
C16236,,Metabolite,0.001,,,,v246
C04650,,Metabolite,0.001,,,,v247
C03880,,Metabolite,0.001,,,,v248
C00337,,Metabolite,0.001,,,,v249
C00369,,Metabolite,0.001,,,,v250
C00149,,Metabolite,1.7,,,,v251
C05755,,Metabolite,0.001,,,,v252
C03838,,Metabolite,0.001,,,,v253
C00106,,Metabolite,0.001,,,,v254
C00921,,Metabolite,0.001,,,,v255
C00079,,Metabolite,0.001,,,,v256
C00130,,Metabolite,0.001,,,,v257
C05399,,Metabolite,0.001,,,,v258
C06899,,Metabolite,0.001,,,,v259
C06612,,Metabolite,0.001,,,,v260
C06611,,Metabolite,0.001,,,,v261
C07292,,Metabolite,0.001,,,,v262
C00054,,Metabolite,0.001,,,,v263
C02876,,Metabolite,0.001,,,,v264
C00275,,Metabolite,0.001,,,,v265
C05750,,Metabolite,0.001,,,,v266
C16155,,Metabolite,0.001,,,,v267
C00624,,Metabolite,0.001,,,,v268
C14864,,Metabolite,0.001,,,,v269
C00438,,Metabolite,0.001,,,,v270
C00030,,Metabolite,0.001,,,,v271
C05762,,Metabolite,0.001,,,,v272
C15532,,Metabolite,0.001,,,,v273
C00008,,Metabolite,0.001,,,,v274
C03723,,Metabolite,0.001,,,,v275
C00463,,Metabolite,0.001,,,,v276
C04376,,Metabolite,0.001,,,,v277
C14858,,Metabolite,0.001,,,,v278
C05892,,Metabolite,0.001,,,,v279
C03657,,Metabolite,0.001,,,,v280
C18713,,Metabolite,0.001,,,,v281
C05822,,Metabolite,0.001,,,,v282
C16614,,Metabolite,0.001,,,,v283
C00726,,Metabolite,0.001,,,,v284
C00007,,Metabolite,0.001,,,,v285
C01177,,Metabolite,0.001,,,,v286
C00166,,Metabolite,0.001,,,,v287
C04051,,Metabolite,0.001,,,,v288
C00376,,Metabolite,0.001,,,,v289
C00152,,Metabolite,0.001,,,,v290
C02575,,Metabolite,0.001,,,,v291
C01344,,Metabolite,0.001,,,,v292
C05378,,Metabolite,0.001,,,,v293
C00458,,Metabolite,0.001,,,,v294
C03444,,Metabolite,0.001,,,,v295
C17023,,Metabolite,0.001,,,,v296
C02287,,Metabolite,0.001,,,,v297
C02353,,Metabolite,0.001,,,,v298
C00083,,Metabolite,0.001,,,,v299
C00129,,Metabolite,0.001,,,,v300
C03287,,Metabolite,0.001,,,,v301
C15812,,Metabolite,0.001,,,,v302
C00105,,Metabolite,0.001,,,,v303
C11439,,Metabolite,0.001,,,,v304
C01185,,Metabolite,0.001,,,,v305
C05760,,Metabolite,0.001,,,,v306
C01648,,Metabolite,0.001,,,,v307
C00459,,Metabolite,0.001,,,,v308
C11039,,Metabolite,0.001,,,,v309
C05928,,Metabolite,0.001,,,,v310
C00415,,Metabolite,0.001,,,,v311
C00148,,Metabolite,0.001,,,,v312
C03406,,Metabolite,0.001,,,,v313
C06054,,Metabolite,0.001,,,,v314
C00531,,Metabolite,0.001,,,,v315
C00138,,Metabolite,0.001,,,,v316
C06103,,Metabolite,0.001,,,,v317
C14852,,Metabolite,0.001,,,,v318
C06697,,Metabolite,0.001,,,,v319
C11215,,Metabolite,0.001,,,,v320
C02282,,Metabolite,0.001,,,,v321
C16738,,Metabolite,0.001,,,,v322
C03512,,Metabolite,0.001,,,,v323
C05512,,Metabolite,0.001,,,,v324
C00946,,Metabolite,0.001,,,,v325
C02496,,Metabolite,0.001,,,,v326
C14089,,Metabolite,0.001,,,,v327
C03802,,Metabolite,0.001,,,,v328
C01613,,Metabolite,0.001,,,,v329
C00302,,Metabolite,0.001,,,,v330
C00025,,Metabolite,0.001,,,,v331
C05650,,Metabolite,0.001,,,,v332
C00342,,Metabolite,0.001,,,,v333
C00099,,Metabolite,0.001,,,,v334
C00462,,Metabolite,0.001,,,,v335
C06194,,Metabolite,0.001,,,,v336
C05753,,Metabolite,0.001,,,,v337
C00248,,Metabolite,0.001,,,,v338
C03479,,Metabolite,0.001,,,,v339
C05841,,Metabolite,0.001,,,,v340
C03160,,Metabolite,0.001,,,,v341
C01637,,Metabolite,0.001,,,,v342
C00283,,Metabolite,0.001,,,,v343
C03082,,Metabolite,0.001,,,,v344
C00447,,Metabolite,0.001,,,,v345
C03912,,Metabolite,0.001,,,,v346
C13199,,Metabolite,0.001,,,,v347
C00224,,Metabolite,0.001,,,,v348
C00475,,Metabolite,0.001,,,,v349
