Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI,Keq
WP_000003829.1,1.2.4.1,Escherichia coli,R21,Pyruvate dehydrogenase (acetyl-transferring),R01699,MRL,C00022; C15972,C00011; C16255,Km_C00011: 0.413209707; Km_C16255: 0.302165031; Km_C00022: 0.38795; Km_C15972: 0.014058916,Kcat_F: 21.3131172045; Kcat_R: 3.5914396455000004,C00022;C00003;C15972;C00004;C00011;C00024;C00010;C16255;C05125;C00068;C00080,C15972_KI: 0.014058916;C00003_KI: 0.064532936;C00004_KI: 0.029656347;C00068_KI: 0.005806968;C00011_KI: 0.413209707;C00010_KI: 0.040530939;C05125_KI: 0.008422038;C16255_KI: 0.302165031;C00024_KI: 0.036603667;C00022_KI: 0.37054348;C00080_KI: 0.307893664,Keq: 1
WP_000003829.1,1.2.4.1,Escherichia coli,R22,Pyruvate dehydrogenase (acetyl-transferring),R00014,MRL,C00022; C00068,C00011; C05125,Km_C00011: 0.413209707; Km_C05125: 0.008422038; Km_C00022: 0.38795; Km_C00068: 0.00158,Kcat_F: 20.805219947999998; Kcat_R: 3.9121252725,C00022;C00003;C15972;C00004;C00011;C00024;C00010;C16255;C05125;C00068;C00080,C15972_KI: 0.014058916;C00003_KI: 0.064532936;C00004_KI: 0.029656347;C00068_KI: 0.005806968;C00011_KI: 0.413209707;C00010_KI: 0.040530939;C05125_KI: 0.008422038;C16255_KI: 0.302165031;C00024_KI: 0.036603667;C00022_KI: 0.37054348;C00080_KI: 0.307893664,Keq: 42428.37004698428
WP_000003829.1,1.2.4.1,Escherichia coli,R23,Pyruvate dehydrogenase (acetyl-transferring),R00209,MRL,C00003; C00010; C00022,C00004; C00011; C00024; C00080,Km_C00004: 0.029656347; Km_C00011: 0.413209707; Km_C00024: 0.036603667; Km_C00080: 0.307893664; Km_C00003: 0.064532936; Km_C00010: 0.040530939; Km_C00022: 0.38795,Kcat_F: 15.722195232666666; Kcat_R: 4.4501311973333335,C00022;C00003;C15972;C00004;C00011;C00024;C00010;C16255;C05125;C00068;C00080,C15972_KI: 0.014058916;C00003_KI: 0.064532936;C00004_KI: 0.029656347;C00068_KI: 0.005806968;C00011_KI: 0.413209707;C00010_KI: 0.040530939;C05125_KI: 0.008422038;C16255_KI: 0.302165031;C00024_KI: 0.036603667;C00022_KI: 0.37054348;C00080_KI: 0.307893664,Keq: 998855.9306379288
WP_000003829.1,1.2.4.1,Escherichia coli,R24,Pyruvate dehydrogenase (acetyl-transferring),R03270,MRL,C05125; C15972,C00068; C16255,Km_C00068: 0.00158; Km_C16255: 0.302165031; Km_C05125: 0.008422038; Km_C15972: 0.014058916,Kcat_F: 3.9213992214999998; Kcat_R: 3.092816338,C00022;C00003;C15972;C00004;C00011;C00024;C00010;C16255;C05125;C00068;C00080,C15972_KI: 0.014058916;C00003_KI: 0.064532936;C00004_KI: 0.029656347;C00068_KI: 0.005806968;C00011_KI: 0.413209707;C00010_KI: 0.040530939;C05125_KI: 0.008422038;C16255_KI: 0.302165031;C00024_KI: 0.036603667;C00022_KI: 0.37054348;C00080_KI: 0.307893664,Keq: 1
WP_000102485.1,1.8.1.4,Escherichia coli,R29,Dihydrolipoyl dehydrogenase,R08550,MRL,C00003; C16832,C00004; C00080; C16237,Km_C00004: 0.021393653; Km_C00080: 0.225048855; Km_C16237: 0.063766681; Km_C00003: 0.089765757; Km_C16832: 0.118229039,Kcat_F: 82.215055545; Kcat_R: 162.925253535,C00003;C02972;C00024;C00248;C02051;C16832;C00579;C15972;C00010;C00143;C00091;C00037;C15973;C00527;C00014;C00011;C00026;C00022;C00004;C00101;C00322;C00080;C16237,C00579_KI: 0.311786413;C00004_KI: 0.021393653;C00024_KI: 0.026133817;C00037_KI: 0.678076088;C00010_KI: 0.030270519;C15972_KI: 0.056440994;C16237_KI: 0.063766681;C00080_KI: 0.225048855;C00101_KI: 0.028163046;C02051_KI: 0.19364343047619043;C00003_KI: 0.089765757;C00143_KI: 0.019876115;C00248_KI: 0.415237725;C00011_KI: 0.555787563;C00022_KI: 0.362687021;C02972_KI: 0.19364343047619043;C00091_KI: 0.020413773;C15973_KI: 0.070260912;C00026_KI: 0.162106812;C00014_KI: 0.673851371;C00527_KI: 0.020277608;C16832_KI: 0.118229039;C00322_KI: 0.116938278,Keq: 1
WP_000102485.1,1.8.1.4,Escherichia coli,R30,Dihydrolipoyl dehydrogenase,R03815,MRL,C00003; C02972,C00004; C00080; C02051,Km_C00004: 0.021393653; Km_C00080: 0.225048855; Km_C02051: 0.11206942166666667; Km_C00003: 0.089765757; Km_C02972: 0.11206942166666667,Kcat_F: 117.9162304; Kcat_R: 278.5808072,C00003;C02972;C00024;C00248;C02051;C16832;C00579;C15972;C00010;C00143;C00091;C00037;C15973;C00527;C00014;C00011;C00026;C00022;C00004;C00101;C00322;C00080;C16237,C00579_KI: 0.311786413;C00004_KI: 0.021393653;C00024_KI: 0.026133817;C00037_KI: 0.678076088;C00010_KI: 0.030270519;C15972_KI: 0.056440994;C16237_KI: 0.063766681;C00080_KI: 0.225048855;C00101_KI: 0.028163046;C02051_KI: 0.19364343047619043;C00003_KI: 0.089765757;C00143_KI: 0.019876115;C00248_KI: 0.415237725;C00011_KI: 0.555787563;C00022_KI: 0.362687021;C02972_KI: 0.19364343047619043;C00091_KI: 0.020413773;C15973_KI: 0.070260912;C00026_KI: 0.162106812;C00014_KI: 0.673851371;C00527_KI: 0.020277608;C16832_KI: 0.118229039;C00322_KI: 0.116938278,Keq: 1
WP_000102485.1,1.8.1.4,Escherichia coli,R31,Dihydrolipoyl dehydrogenase,R07618,MRL,C00003; C15973,C00004; C00080; C15972,Km_C00004: 0.021393653; Km_C00080: 0.225048855; Km_C15972: 0.056440994; Km_C00003: 0.089765757; Km_C15973: 0.070260912,Kcat_F: 78.4412052; Kcat_R: 212.9897004,C00003;C02972;C00024;C00248;C02051;C16832;C00579;C15972;C00010;C00143;C00091;C00037;C15973;C00527;C00014;C00011;C00026;C00022;C00004;C00101;C00322;C00080;C16237,C00579_KI: 0.311786413;C00004_KI: 0.021393653;C00024_KI: 0.026133817;C00037_KI: 0.678076088;C00010_KI: 0.030270519;C15972_KI: 0.056440994;C16237_KI: 0.063766681;C00080_KI: 0.225048855;C00101_KI: 0.028163046;C02051_KI: 0.19364343047619043;C00003_KI: 0.089765757;C00143_KI: 0.019876115;C00248_KI: 0.415237725;C00011_KI: 0.555787563;C00022_KI: 0.362687021;C02972_KI: 0.19364343047619043;C00091_KI: 0.020413773;C15973_KI: 0.070260912;C00026_KI: 0.162106812;C00014_KI: 0.673851371;C00527_KI: 0.020277608;C16832_KI: 0.118229039;C00322_KI: 0.116938278,Keq: 1
WP_000102485.1,1.8.1.4,Escherichia coli,R32,Dihydrolipoyl dehydrogenase,R00209,MRL,C00003; C00010; C00022,C00004; C00011; C00024; C00080,Km_C00004: 0.021393653; Km_C00011: 0.555787563; Km_C00024: 0.026133817; Km_C00080: 0.225048855; Km_C00003: 0.089765757; Km_C00010: 0.030270519; Km_C00022: 0.3933333333333333,Kcat_F: 231.67734093333334; Kcat_R: 276.38021813333336,C00003;C02972;C00024;C00248;C02051;C16832;C00579;C15972;C00010;C00143;C00091;C00037;C15973;C00527;C00014;C00011;C00026;C00022;C00004;C00101;C00322;C00080;C16237,C00579_KI: 0.311786413;C00004_KI: 0.021393653;C00024_KI: 0.026133817;C00037_KI: 0.678076088;C00010_KI: 0.030270519;C15972_KI: 0.056440994;C16237_KI: 0.063766681;C00080_KI: 0.225048855;C00101_KI: 0.028163046;C02051_KI: 0.19364343047619043;C00003_KI: 0.089765757;C00143_KI: 0.019876115;C00248_KI: 0.415237725;C00011_KI: 0.555787563;C00022_KI: 0.362687021;C02972_KI: 0.19364343047619043;C00091_KI: 0.020413773;C15973_KI: 0.070260912;C00026_KI: 0.162106812;C00014_KI: 0.673851371;C00527_KI: 0.020277608;C16832_KI: 0.118229039;C00322_KI: 0.116938278,Keq: 998855.9306379288
WP_000102485.1,1.8.1.4,Escherichia coli,R33,Dihydrolipoyl dehydrogenase,R01221,MRL,C00003; C00037; C00101,C00004; C00011; C00014; C00080; C00143,Km_C00004: 0.021393653; Km_C00011: 0.555787563; Km_C00014: 0.673851371; Km_C00080: 0.225048855; Km_C00143: 0.019876115; Km_C00003: 0.089765757; Km_C00037: 0.678076088; Km_C00101: 0.028163046,Kcat_F: 97.07549719000001; Kcat_R: 292.699911325,C00003;C02972;C00024;C00248;C02051;C16832;C00579;C15972;C00010;C00143;C00091;C00037;C15973;C00527;C00014;C00011;C00026;C00022;C00004;C00101;C00322;C00080;C16237,C00579_KI: 0.311786413;C00004_KI: 0.021393653;C00024_KI: 0.026133817;C00037_KI: 0.678076088;C00010_KI: 0.030270519;C15972_KI: 0.056440994;C16237_KI: 0.063766681;C00080_KI: 0.225048855;C00101_KI: 0.028163046;C02051_KI: 0.19364343047619043;C00003_KI: 0.089765757;C00143_KI: 0.019876115;C00248_KI: 0.415237725;C00011_KI: 0.555787563;C00022_KI: 0.362687021;C02972_KI: 0.19364343047619043;C00091_KI: 0.020413773;C15973_KI: 0.070260912;C00026_KI: 0.162106812;C00014_KI: 0.673851371;C00527_KI: 0.020277608;C16832_KI: 0.118229039;C00322_KI: 0.116938278,Keq: 0.00014118454869627972
WP_000102485.1,1.8.1.4,Escherichia coli,R34,Dihydrolipoyl dehydrogenase,R01698,MRL,C00003; C00579,C00004; C00080; C00248,Km_C00004: 0.021393653; Km_C00080: 0.225048855; Km_C00248: 0.415237725; Km_C00003: 0.089765757; Km_C00579: 0.12833333333333335,Kcat_F: 163.37561235; Kcat_R: 280.4232664,C00003;C02972;C00024;C00248;C02051;C16832;C00579;C15972;C00010;C00143;C00091;C00037;C15973;C00527;C00014;C00011;C00026;C00022;C00004;C00101;C00322;C00080;C16237,C00579_KI: 0.311786413;C00004_KI: 0.021393653;C00024_KI: 0.026133817;C00037_KI: 0.678076088;C00010_KI: 0.030270519;C15972_KI: 0.056440994;C16237_KI: 0.063766681;C00080_KI: 0.225048855;C00101_KI: 0.028163046;C02051_KI: 0.19364343047619043;C00003_KI: 0.089765757;C00143_KI: 0.019876115;C00248_KI: 0.415237725;C00011_KI: 0.555787563;C00022_KI: 0.362687021;C02972_KI: 0.19364343047619043;C00091_KI: 0.020413773;C15973_KI: 0.070260912;C00026_KI: 0.162106812;C00014_KI: 0.673851371;C00527_KI: 0.020277608;C16832_KI: 0.118229039;C00322_KI: 0.116938278,Keq: 0.5285963120718694
