Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI,Keq
,1.17.7.1,Escherichia coli,R1,(e)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin),R08689,MRL,C00138; C11453,C00001; C00139; C11811,Km_C00001: 8.255581856; Km_C00139: 8.255581856; Km_C11811: 8.255581856; Km_C00138: 8.255581856; Km_C11453: 8.255581856,Kcat_F: 19.78221183941891; Kcat_R: 3.301098181,C11453;C11811;C00001;C00138;C00139,C00001_KI: 8.255581856;C11811_KI: 8.255581856;C00138_KI: 8.255581856;C11453_KI: 8.255581856;C00139_KI: 8.255581856,
WP_000191372.1,2.3.1.39,Escherichia coli,R2,[acyl-carrier-protein] s-malonyltransferase,R01626,MRL,C00083; C00229,C00010; C01209,Km_C00010: 0.065542154; Km_C01209: 0.14874738466666668; Km_C00083: 0.029699999999999997; Km_C00229: 0.351,Kcat_F: 1050.000235; Kcat_R: 9.578607456,C00083;C01209;C00010;C00229,C01209_KI: 0.06569522250000001;C00083_KI: 0.065848291;C00010_KI: 0.065542154;C00229_KI: 0.06569522250000001,Keq: 1
,5.3.1.16,Escherichia coli,R3,1-(5-phosphoribosyl)-5-[(5,R04640,MRL,C04896,C04916,Km_C04916: 0.033016868; Km_C04896: 1.7000000000000002,Kcat_F: 9.600000000000001; Kcat_R: 8.759150445,C04896;C04916,C04916_KI: 0.033016868;C04896_KI: 0.040882546,
,4.1.3.36,Escherichia coli,R4,"1,4-dihydroxy-2-naphthoyl-coa synthase",R07263,MRL,C03160,C00001; C15547,Km_C00001: 0.902006209; Km_C15547: 0.4639531045; Km_C03160: 0.0259,Kcat_F: 0.062; Kcat_R: 117.7395403,C00010;C00001;C15547;C03160;C03657,C15547_KI: 0.2616526715;C03160_KI: 0.060660176;C03657_KI: 0.031073755;C00001_KI: 0.902006209;C00010_KI: 0.052870546,
,2.3.1.117,Escherichia coli,R5,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate n-succinyltransferase",R04365,MRL,C00001; C00091; C03972,C00010; C04462,Km_C00010: 0.177714095; Km_C04462: 0.304652005; Km_C00001: 2.012990713; Km_C00091: 0.015; Km_C03972: 0.517685533,Kcat_F: 35.21180224966667; Kcat_R: 47.964201055,C04462;C00010;C00001;C00091;C03972,C00091_KI: 0.133486509;C03972_KI: 0.517685533;C00010_KI: 0.177714095;C04462_KI: 0.304652005;C00001_KI: 2.012990713,
,3.1.4.16,Escherichia coli,R6,"2',3'-cyclic-nucleotide 2'-phosphodiesterase",R03537,MRL,C00001; C02353,C01367,Km_C01367: 0.05; Km_C00001: 0.302585751; Km_C02353: 0.49,Kcat_F: 4.9627186084999995; Kcat_R: 4.277199014,C01367;C02353;C02354;C05822;C06194;C02355;C01368;C00001;C01240;C03419;C06193,C03419_KI: 0.07398992644444445;C01240_KI: 0.07398992644444445;C01367_KI: 0.031050734;C00001_KI: 0.302585751;C02355_KI: 0.04979134;C06193_KI: 0.028111948;C06194_KI: 0.032085013;C02353_KI: 0.028383136;C02354_KI: 0.077875793;C05822_KI: 0.066258483;C01368_KI: 0.04976714,
,3.1.4.16,Escherichia coli,R7,"2',3'-cyclic-nucleotide 2'-phosphodiesterase",R03538,MRL,C00001; C02355,C01368,Km_C01368: 0.053; Km_C00001: 0.302585751; Km_C02355: 0.04979134,Kcat_F: 2.878428548; Kcat_R: 3.092436575,C01367;C02353;C02354;C05822;C06194;C02355;C01368;C00001;C01240;C03419;C06193,C03419_KI: 0.07398992644444445;C01240_KI: 0.07398992644444445;C01367_KI: 0.031050734;C00001_KI: 0.302585751;C02355_KI: 0.04979134;C06193_KI: 0.028111948;C06194_KI: 0.032085013;C02353_KI: 0.028383136;C02354_KI: 0.077875793;C05822_KI: 0.066258483;C01368_KI: 0.04976714,
,3.1.4.16,Escherichia coli,R8,"2',3'-cyclic-nucleotide 2'-phosphodiesterase",R03929,MRL,C00001; C02354,C05822,Km_C05822: 0.066258483; Km_C00001: 0.302585751; Km_C02354: 0.077875793,Kcat_F: 3.337511286; Kcat_R: 4.422033835,C01367;C02353;C02354;C05822;C06194;C02355;C01368;C00001;C01240;C03419;C06193,C03419_KI: 0.07398992644444445;C01240_KI: 0.07398992644444445;C01367_KI: 0.031050734;C00001_KI: 0.302585751;C02355_KI: 0.04979134;C06193_KI: 0.028111948;C06194_KI: 0.032085013;C02353_KI: 0.028383136;C02354_KI: 0.077875793;C05822_KI: 0.066258483;C01368_KI: 0.04976714,
,3.1.4.16,Escherichia coli,R9,"2',3'-cyclic-nucleotide 2'-phosphodiesterase",R05135,MRL,C00001; C06194,C06193,Km_C06193: 0.028111948; Km_C00001: 0.302585751; Km_C06194: 1.6,Kcat_F: 2.1327186085; Kcat_R: 3.115657436,C01367;C02353;C02354;C05822;C06194;C02355;C01368;C00001;C01240;C03419;C06193,C03419_KI: 0.07398992644444445;C01240_KI: 0.07398992644444445;C01367_KI: 0.031050734;C00001_KI: 0.302585751;C02355_KI: 0.04979134;C06193_KI: 0.028111948;C06194_KI: 0.032085013;C02353_KI: 0.028383136;C02354_KI: 0.077875793;C05822_KI: 0.066258483;C01368_KI: 0.04976714,
WP_000800512.1,4.1.2.14,Escherichia coli,R10,2-dehydro-3-deoxy-phosphogluconate aldolase,R05605,MRL,C04442,C00022; C00118,Km_C00022: 10.0; Km_C00118: 0.739241421; Km_C04442: 415.05,Kcat_F: 83.0; Kcat_R: 1.5123339535000002,C00048;C00022;C00345;C05946;C00118;C00661;C04442,C00048_KI: 0.872616529;C05946_KI: 0.528768599;C04442_KI: 0.180845678;C00118_KI: 0.739241421;C00022_KI: 1.110617399;C00345_KI: 0.15314056;C00661_KI: 0.739241421,Keq: 0.0014095449663227091
WP_000800512.1,4.1.2.14,Escherichia coli,R11,2-dehydro-3-deoxy-phosphogluconate aldolase,R00471,MRL,C05946,C00022; C00048,Km_C00022: 10.0; Km_C00048: 0.872616529; Km_C05946: 0.528768599,Kcat_F: 1.249629426; Kcat_R: 0.630864713,C00048;C00022;C00345;C05946;C00118;C00661;C04442,C00048_KI: 0.872616529;C05946_KI: 0.528768599;C04442_KI: 0.180845678;C00118_KI: 0.739241421;C00022_KI: 1.110617399;C00345_KI: 0.15314056;C00661_KI: 0.739241421,Keq: 0.001083095101461444
WP_001303675.1,1.1.1.60,Escherichia coli,R12,2-hydroxy-3-oxopropionate reductase,R01745,MRL,C00003; C00258,C00004; C00080; C01146,Km_C00004: 0.082195692; Km_C00080: 4.276399612; Km_C01146: 0.368014574; Km_C00003: 0.095414706; Km_C00258: 4.2,Kcat_F: 23.6986144485; Kcat_R: 28.641540485,C00006;C00003;C01146;C00004;C00005;C00258;C00080,C00004_KI: 0.082195692;C01146_KI: 0.368014574;C00003_KI: 0.095414706;C00258_KI: 1.624541521;C00080_KI: 4.276399612;C00006_KI: 0.066738613;C00005_KI: 0.087535039,Keq: 6.079466016486677e-06
WP_001303675.1,1.1.1.60,Escherichia coli,R13,2-hydroxy-3-oxopropionate reductase,R01747,MRL,C00006; C00258,C00005; C00080; C01146,Km_C00005: 0.087535039; Km_C00080: 4.276399612; Km_C01146: 0.368014574; Km_C00006: 0.066738613; Km_C00258: 4.2,Kcat_F: 24.0215035445; Kcat_R: 28.61671638,C00006;C00003;C01146;C00004;C00005;C00258;C00080,C00004_KI: 0.082195692;C01146_KI: 0.368014574;C00003_KI: 0.095414706;C00258_KI: 1.624541521;C00080_KI: 4.276399612;C00006_KI: 0.066738613;C00005_KI: 0.087535039,Keq: 6.074207227829519e-06
,3.1.3.7,Escherichia coli,R14,"3'(2'),5'-bisphosphate nucleotidase",R00508,MRL,C00001; C00053,C00009; C00224,Km_C00009: 1.060231805; Km_C00224: 0.062957361; Km_C00001: 1.211840868; Km_C00053: 0.06156636,Kcat_F: 12.113351456999998; Kcat_R: 9.943782157500001,C00053;C00224;C00054;C00020;C00009;C00001,C00224_KI: 0.062957361;C00020_KI: 0.123677142;C00054_KI: 0.081032827;C00009_KI: 1.060231805;C00053_KI: 0.06156636;C00001_KI: 1.211840868,
