Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI
,2.7.7.6,Escherichia coli,R1,Dna-directed rna polymerase,R00444,MRL,C00201,C00013; C00046,Km_C00013: 0.09928064; Km_C00046: 0.09928064; Km_C00201: 0.09928064,Kcat_F: 19.78221183941891; Kcat_R: 0.003180952,C00075;C00201;C00063;C00044;C00013;C00002;C00046,C00063_KI: 0.053723808;C00075_KI: 0.110227138;C00201_KI: 0.06970829640000001;C00046_KI: 0.06970829640000001;C00002_KI: 0.034111816;C00044_KI: 0.05119808;C00013_KI: 0.09928064
,2.7.7.6,Escherichia coli,R2,Dna-directed rna polymerase,R00435,MRL,C00002,C00013; C00046,Km_C00013: 0.09928064; Km_C00046: 0.066696228; Km_C00002: 0.034111816,Kcat_F: 0.09186744; Kcat_R: 0.003180952,C00075;C00201;C00063;C00044;C00013;C00002;C00046,C00063_KI: 0.053723808;C00075_KI: 0.110227138;C00201_KI: 0.06970829640000001;C00046_KI: 0.06970829640000001;C00002_KI: 0.034111816;C00044_KI: 0.05119808;C00013_KI: 0.09928064
,2.7.7.6,Escherichia coli,R3,Dna-directed rna polymerase,R00441,MRL,C00044,C00013; C00046,Km_C00013: 0.09928064; Km_C00046: 0.07523936; Km_C00044: 0.05119808,Kcat_F: 0.057736397; Kcat_R: 0.003180952,C00075;C00201;C00063;C00044;C00013;C00002;C00046,C00063_KI: 0.053723808;C00075_KI: 0.110227138;C00201_KI: 0.06970829640000001;C00046_KI: 0.06970829640000001;C00002_KI: 0.034111816;C00044_KI: 0.05119808;C00013_KI: 0.09928064
,2.7.7.6,Escherichia coli,R4,Dna-directed rna polymerase,R00442,MRL,C00063,C00013; C00046,Km_C00013: 0.09928064; Km_C00046: 0.07650222400000001; Km_C00063: 0.053723808,Kcat_F: 0.057857452; Kcat_R: 0.003180952,C00075;C00201;C00063;C00044;C00013;C00002;C00046,C00063_KI: 0.053723808;C00075_KI: 0.110227138;C00201_KI: 0.06970829640000001;C00046_KI: 0.06970829640000001;C00002_KI: 0.034111816;C00044_KI: 0.05119808;C00013_KI: 0.09928064
,2.7.7.6,Escherichia coli,R5,Dna-directed rna polymerase,R00443,MRL,C00075,C00013; C00046,Km_C00013: 0.09928064; Km_C00046: 0.104753889; Km_C00075: 0.110227138,Kcat_F: 0.049924272; Kcat_R: 0.003180952,C00075;C00201;C00063;C00044;C00013;C00002;C00046,C00063_KI: 0.053723808;C00075_KI: 0.110227138;C00201_KI: 0.06970829640000001;C00046_KI: 0.06970829640000001;C00002_KI: 0.034111816;C00044_KI: 0.05119808;C00013_KI: 0.09928064
,5.2.1.8,Escherichia coli,R6,Peptidylprolyl isomerase,R04273,MRL,C03798,C03633,Km_C03633: 11.421359055528603; Km_C03798: 11.421359055528603,Kcat_F: 19.78221183941891; Kcat_R: 19.78221183941891,C03633;C03798,C03633_KI: 0.9685395753562895;C03798_KI: 0.9685395753562895
,6.3.5.5,Escherichia coli,R7,Carbamoyl-phosphate synthase (glutamine-hydrolysing),R00256,MRL,C00001; C00064,C00014; C00025,Km_C00014: 2.051671028; Km_C00025: 0.995128751; Km_C00001: 0.812423646; Km_C00064: 0.4618738,Kcat_F: 5.6714782029999995; Kcat_R: 9.3347956045,C00064;C00009;C00014;C00001;C00288;C00169;C00025;C00008;C00002,C00008_KI: 0.055322122;C00014_KI: 2.051671028;C00001_KI: 0.812423646;C00025_KI: 0.995128751;C00002_KI: 0.067236871;C00009_KI: 1.365577102;C00169_KI: 0.34583804;C00288_KI: 1.407387018;C00064_KI: 0.4618738
,6.3.5.5,Escherichia coli,R8,Carbamoyl-phosphate synthase (glutamine-hydrolysing),R00575,MRL,C00001; C00002; C00064; C00288,C00008; C00009; C00025; C00169,Km_C00008: 0.055322122; Km_C00009: 1.365577102; Km_C00025: 0.995128751; Km_C00169: 0.34583804; Km_C00001: 0.812423646; Km_C00002: 0.067236871; Km_C00064: 0.4618738; Km_C00288: 1.4766666666666666,Kcat_F: 4.78089486975; Kcat_R: 5.17748061675,C00064;C00009;C00014;C00001;C00288;C00169;C00025;C00008;C00002,C00008_KI: 0.055322122;C00014_KI: 2.051671028;C00001_KI: 0.812423646;C00025_KI: 0.995128751;C00002_KI: 0.067236871;C00009_KI: 1.365577102;C00169_KI: 0.34583804;C00288_KI: 1.407387018;C00064_KI: 0.4618738
,6.3.5.5,Escherichia coli,R9,Carbamoyl-phosphate synthase (glutamine-hydrolysing),R07641,MRL,C00002; C00014; C00288,C00008; C00009; C00169,Km_C00008: 0.055322122; Km_C00009: 1.365577102; Km_C00169: 0.34583804; Km_C00002: 0.067236871; Km_C00014: 2.051671028; Km_C00288: 1.4766666666666666,Kcat_F: 6.907218447666666; Kcat_R: 4.993787842666666,C00064;C00009;C00014;C00001;C00288;C00169;C00025;C00008;C00002,C00008_KI: 0.055322122;C00014_KI: 2.051671028;C00001_KI: 0.812423646;C00025_KI: 0.995128751;C00002_KI: 0.067236871;C00009_KI: 1.365577102;C00169_KI: 0.34583804;C00288_KI: 1.407387018;C00064_KI: 0.4618738
,6.1.1.7,Escherichia coli,R10,Alanine-trna ligase,R03038,MRL,C00002; C00041; C01635,C00013; C00020; C00886,Km_C00013: 0.072413243; Km_C00020: 0.022911394; Km_C00886: 0.0706742942; Km_C00002: 0.025530493; Km_C00041: 0.230766341; Km_C01635: 0.0017499999999999998,Kcat_F: 1.517066951; Kcat_R: 1.5705551025000002,C00020;C00886;C01635;C00013;C00041;C00002,C00013_KI: 0.072413243;C00002_KI: 0.025530493;C00041_KI: 0.230766341;C01635_KI: 0.08790536774999999;C00020_KI: 0.022911394;C00886_KI: 0.08790536774999999
,6.1.1.15,Escherichia coli,R11,Proline-trna ligase,R03661,MRL,C00002; C00148; C01649,C00013; C00020; C02702,Km_C00013: 0.223068416; Km_C00020: 0.065034218; Km_C02702: 0.1107568676; Km_C00002: 0.089042157; Km_C00148: 0.162499547; Km_C01649: 0.01414,Kcat_F: 1.194108566; Kcat_R: 0.9549211915,C01649;C00020;C02702;C00013;C00002;C00148,C01649_KI: 0.13491108449999997;C00013_KI: 0.223068416;C00148_KI: 0.162499547;C00020_KI: 0.065034218;C02702_KI: 0.13491108449999997;C00002_KI: 0.089042157
,6.1.1.5,Escherichia coli,R12,Isoleucine-trna ligase,R03656,MRL,C00002; C00407; C01644,C00013; C00020; C03127,Km_C00013: 0.039245732; Km_C00020: 0.01626548; Km_C03127: 0.0243369574; Km_C00002: 0.018193932; Km_C00407: 0.045879643; Km_C01644: 0.0021,Kcat_F: 10.395218501666667; Kcat_R: 12.780535491,C01644;C00020;C03127;C00407;C00013;C00002,C00013_KI: 0.039245732;C03127_KI: 0.02989619675;C01644_KI: 0.02989619675;C00020_KI: 0.01626548;C00407_KI: 0.045879643;C00002_KI: 0.018193932
,6.1.1.20,Escherichia coli,R13,Phenylalanine-trna ligase,R03660,MRL,C00002; C00079; C01648,C00013; C00020; C03511,Km_C00013: 0.110224701; Km_C00020: 0.021949925; Km_C03511: 0.0410671938; Km_C00002: 0.027728623; Km_C00079: 0.04255772; Km_C01648: 0.002875,Kcat_F: 8.636955886666668; Kcat_R: 5.9763161745,C03511;C00020;C01648;C00079;C00013;C00002,C03511_KI: 0.05061524225;C00013_KI: 0.110224701;C00002_KI: 0.027728623;C00079_KI: 0.04255772;C00020_KI: 0.021949925;C01648_KI: 0.05061524225
,4.3.1.1,Escherichia coli,R14,Aspartate ammonia-lyase,R00490,MRL,C00049,C00014; C00122,Km_C00014: 12.20387268; Km_C00122: 0.828558326; Km_C00049: 1.195170283,Kcat_F: 138.3736857; Kcat_R: 10064.76036055,C00014;C00049;C00122,C00014_KI: 12.20387268;C00122_KI: 0.828558326;C00049_KI: 1.195170283
,2.8.1.7,Escherichia coli,R15,Cysteine desulfurase,R07460,MRL,C00097; C15811,C00041; C15812,Km_C00041: 1.053504229; Km_C15812: 0.010528521; Km_C00097: 0.083457783; Km_C15811: 0.017585905,Kcat_F: 30.001426185; Kcat_R: 36.793572795,C00097;C00041;C15812;C15811,C00097_KI: 0.083457783;C15812_KI: 0.010528521;C15811_KI: 0.017585905;C00041_KI: 1.053504229
,6.1.1.11,Escherichia coli,R16,Serine-trna ligase,R03662,MRL,C00002; C00065; C01650,C00013; C00020; C02553,Km_C00013: 0.00750173; Km_C00020: 0.001468161; Km_C02553: 0.0055857832000000005; Km_C00002: 0.001039614; Km_C00065: 0.017359411; Km_C01650: 0.00056,Kcat_F: 41.893331030000006; Kcat_R: 49.234747755,C01650;C00020;C00013;C02553;C16636;C06481;C00065;C00002,C16636_KI: 0.003100337;C06481_KI: 0.006093850600000001;C00002_KI: 0.001039614;C01650_KI: 0.006093850600000001;C00013_KI: 0.00750173;C02553_KI: 0.006093850600000001;C00020_KI: 0.001468161;C00065_KI: 0.017359411
,6.1.1.11,Escherichia coli,R17,Serine-trna ligase,R08218,MRL,C00002; C00065; C16636,C00013; C00020; C06481,Km_C00013: 0.00750173; Km_C00020: 0.001468161; Km_C06481: 0.006093850600000001; Km_C00002: 0.001039614; Km_C00065: 0.017359411; Km_C16636: 0.003100337,Kcat_F: 32.97343452666667; Kcat_R: 49.234747755,C01650;C00020;C00013;C02553;C16636;C06481;C00065;C00002,C16636_KI: 0.003100337;C06481_KI: 0.006093850600000001;C00002_KI: 0.001039614;C01650_KI: 0.006093850600000001;C00013_KI: 0.00750173;C02553_KI: 0.006093850600000001;C00020_KI: 0.001468161;C00065_KI: 0.017359411
,6.3.4.4,Escherichia coli,R18,Adenylosuccinate synthase,R01135,MRL,C00044; C00049; C00130,C00009; C00035; C03794,Km_C00009: 0.567217767; Km_C00035: 0.023658674; Km_C03794: 0.02244579; Km_C00044: 0.0605; Km_C00049: 0.175086781; Km_C00130: 0.04234285714285714,Kcat_F: 1.4762922436666666; Kcat_R: 1.039879132,C00049;C00130;C00009;C03794;C00035;C00044,C03794_KI: 0.02244579;C00130_KI: 0.024890967;C00009_KI: 0.567217767;C00044_KI: 0.031184724;C00035_KI: 0.023658674;C00049_KI: 0.175086781
,6.1.1.4,Escherichia coli,R19,Leucine-trna ligase,R03657,MRL,C00002; C00123; C01645,C00013; C00020; C02047,Km_C00013: 0.073589049; Km_C00020: 0.062845066; Km_C02047: 1650.00105; Km_C00002: 0.054785959; Km_C00123: 0.017924244; Km_C01645: 0.00016,Kcat_F: 1.797755422; Kcat_R: 4.024251986666667,C00020;C00002;C02047;C00013;C01645;C00123,C00002_KI: 0.054785959;C02047_KI: 0.052286079500000006;C00013_KI: 0.073589049;C00123_KI: 0.017924244;C00020_KI: 0.062845066;C01645_KI: 0.052286079500000006
,2.7.1.30,Escherichia coli,R20,Glycerol kinase,R00847,MRL,C00002; C00116,C00008; C00093,Km_C00008: 0.023433018; Km_C00093: 0.146136329; Km_C00002: 0.015506073; Km_C00116: 0.106406488,Kcat_F: 5.3466165625; Kcat_R: 5.8155024715,C00093;C00008;C00116;C00002,C00116_KI: 0.106406488;C00093_KI: 0.146136329;C00002_KI: 0.015506073;C00008_KI: 0.023433018
