Label,EC,Type,StartingConc,Conc,Mechanisms,Parameters
Acetaldehyde dehydrogenase (acetylating),1.2.1.10,Enzyme,1.0,,,
Acetate kinase,2.7.2.1,Enzyme,1.0,,,
Aconitate hydratase,4.2.1.3,Enzyme,1.0,,,
Adenylate kinase,2.7.4.3,Enzyme,1.0,,,
Oxoglutarate dehydrogenase (succinyl-transferring),1.2.4.2,Enzyme,1.0,,,
Alcohol dehydrogenase,1.1.1.1,Enzyme,1.0,,,
Citrate (si)-synthase,2.3.3.1,Enzyme,1.0,,,
Phosphopyruvate hydratase,4.2.1.11,Enzyme,1.0,,,
Fructose-bisphosphate aldolase,4.1.2.13,Enzyme,1.0,,,
Fructose-bisphosphatase,3.1.3.11,Enzyme,1.0,,,
, 4.2.1.2,Enzyme,1.0,,,
Glucose-6-phosphate dehydrogenase (nadp+),1.1.1.49,Enzyme,1.0,,,
Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating),1.2.1.12,Enzyme,1.0,,,
Glutamine synthetase,6.3.1.2,Enzyme,1.0,,,
Glutamate dehydrogenase (nadp+),1.4.1.4,Enzyme,1.0,,,
Glutaminase,3.5.1.2,Enzyme,1.0,,,
Glutamate synthase (nadph),1.4.1.13,Enzyme,1.0,,,
"Phosphogluconate dehydrogenase (nadp+-dependent, decarboxylating)",1.1.1.44,Enzyme,1.0,,,
Isocitrate dehydrogenase (nadp+),1.1.1.42,Enzyme,1.0,,,
Isocitrate lyase,4.1.3.1,Enzyme,1.0,,,
D-lactate dehydrogenase,1.1.1.28,Enzyme,1.0,,,
Malate synthase,2.3.3.9,Enzyme,1.0,,,
Malate dehydrogenase,1.1.1.37,Enzyme,1.0,,,
Malate dehydrogenase (oxaloacetate-decarboxylating),1.1.1.38,Enzyme,1.0,,,
Malate dehydrogenase (oxaloacetate-decarboxylating) (nadp+),1.1.1.40,Enzyme,1.0,,,
,1.6.5.3,Enzyme,1.0,,,
Nad(p)+ transhydrogenase (si-specific),1.6.1.1,Enzyme,2.0,,,
