Label,EC,Type,StartingConc,Conc,Mechanisms,Parameters,Relative
Glucose-6-phosphate isomerase,5.3.1.9,Enzyme,2.5,,,,rel0
6-phosphofructokinase,2.7.1.11,Enzyme,3,,,,rel0
Fructose-bisphosphatase,3.1.3.11,Enzyme,6.5,,,,rel0
Fructose-bisphosphate aldolase,4.1.2.13,Enzyme,20,,,,rel0
Triose-phosphate isomerase,5.3.1.1,Enzyme,8,,,,rel0
Phosphoglycerate kinase,2.7.2.3,Enzyme,45.5,,,,rel0
WP_000942344.1,5.4.2.11,Enzyme,24.5,,,,rel0
Phosphopyruvate hydratase,4.2.1.11,Enzyme,37.5,,,,rel0
"Pyruvate, water dikinase",2.7.9.2,Enzyme,30,,,,rel0
Pyruvate kinase,2.7.1.40,Enzyme,37,,,,rel0
Pyruvate dehydrogenase (acetyl-transferring),1.2.4.1,Enzyme,51,,,,rel0
WP_000785834.1,2.3.3.16,Enzyme,29.5,,,,rel0
Aconitate hydratase,4.2.1.3,Enzyme,90.5,,,,rel0
Oxoglutarate dehydrogenase (succinyl-transferring),1.2.4.2,Enzyme,78.5,,,,rel0
Succinate-coa ligase (adp-forming),6.2.1.5,Enzyme,78,,,,rel0
Succinate dehydrogenase,1.3.5.1,Enzyme,9,,,,rel0
Fumarate hydratase,4.2.1.2,Enzyme,25.5,,,,rel0
Malate dehydrogenase,1.1.1.37,Enzyme,34.5,,,,rel0
"Phosphogluconate dehydrogenase (nadp+-dependent, decarboxylating)",1.1.1.44,Enzyme,25,,,,rel0
Ribulose-phosphate 3-epimerase,5.1.3.1,Enzyme,2.5,,,,rel0
Ribose-5-phosphate isomerase,5.3.1.6,Enzyme,5.5,,,,rel0
Transketolase,2.2.1.1,Enzyme,41,,,,rel0
Transaldolase,2.2.1.2,Enzyme,32.5,,,,rel0
3-oxoacyl-[acyl-carrier-protein] reductase,1.1.1.100,Enzyme,5,,,,rel0
Enoyl-[acyl-carrier-protein] reductase (nadh),1.3.1.9,Enzyme,27,,,,rel0
Beta-ketoacyl-[acyl-carrier-protein] synthase iii,2.3.1.180,Enzyme,9.5,,,,rel0
[acyl-carrier-protein] s-malonyltransferase,2.3.1.39,Enzyme,6.5,,,,rel0
Beta-ketoacyl-[acyl-carrier-protein] synthase i,2.3.1.41,Enzyme,15.5,,,,rel0
Acetyl-coa c-acyltransferase,2.3.1.16,Enzyme,0.5,,,,rel0
Long-chain-fatty-acid-coa ligase,6.2.1.3,Enzyme,3,,,,rel0
Acetyl-coa carboxylase,6.4.1.2,Enzyme,13.5,,,,rel0
Biotin carboxylase,6.3.4.14,Enzyme,16.5,,,,rel0
3-hydroxyacyl-[acyl-carrier-protein] dehydratase,4.2.1.59,Enzyme,9,,,,rel0
Glycogen phosphorylase,2.4.1.1,Enzyme,5,,,,rel0
"Phosphoglucomutase (alpha-d-glucose-1,6-bisphosphate-dependent)",5.4.2.2,Enzyme,10,,,,rel0
C00035,,Metabolite,0.001,,,,v1
C00036,,Metabolite,0,,,,v2
C05378,,Metabolite,0.001,,,,v3
C00083,,Metabolite,0.001,,,,v4
C00229,,Metabolite,0.001,,,,v5
C00231,,Metabolite,0.5,,,,v6
C00173,,Metabolite,0.001,,,,v7
C00085,,Metabolite,0.001,,,,v8
C00005,,Metabolite,0.12,,,,v9
C05269,,Metabolite,0.001,,,,v10
C05125,,Metabolite,0.001,,,,v11
C16254,,Metabolite,0.001,,,,v12
C03344,,Metabolite,0.001,,,,v13
C00620,,Metabolite,0.001,,,,v14
C00011,,Metabolite,0.001,,,,v15
C16471,,Metabolite,0.001,,,,v16
C16169,,Metabolite,0.001,,,,v17
C05760,,Metabolite,0.001,,,,v18
C05259,,Metabolite,0.001,,,,v19
C16220,,Metabolite,0.001,,,,v20
C05761,,Metabolite,0.001,,,,v21
C05757,,Metabolite,0.001,,,,v22
C16376,,Metabolite,0.001,,,,v23
C05261,,Metabolite,0.001,,,,v24
C16330,,Metabolite,0.001,,,,v25
C03356,,Metabolite,0.001,,,,v26
C05748,,Metabolite,0.001,,,,v27
C01944,,Metabolite,0.001,,,,v28
C00074,,Metabolite,0.18,,,,v29
C00009,,Metabolite,0.001,,,,v30
C00100,,Metabolite,0.001,,,,v31
C01112,,Metabolite,0.001,,,,v32
C00109,,Metabolite,0.001,,,,v33
C00389,,Metabolite,0.001,,,,v34
C00001,,Metabolite,0.001,,,,v35
C00284,,Metabolite,0.001,,,,v36
C00736,,Metabolite,0.001,,,,v37
C00988,,Metabolite,0.001,,,,v38
C02426,,Metabolite,0.001,,,,v39
C06250,,Metabolite,0.001,,,,v40
C05223,,Metabolite,0.001,,,,v41
C00197,,Metabolite,1.5,,,,v42
C05267,,Metabolite,0.001,,,,v43
C01094,,Metabolite,0.001,,,,v44
C00020,,Metabolite,0.001,,,,v45
C05756,,Metabolite,0.001,,,,v46
C00742,,Metabolite,0.001,,,,v47
C05625,,Metabolite,0.001,,,,v48
C05749,,Metabolite,0.001,,,,v49
C00447,,Metabolite,0.001,,,,v50
C05345,,Metabolite,3.8,,,,v51
C00112,,Metabolite,0.001,,,,v52
C00527,,Metabolite,0.001,,,,v53
C00048,,Metabolite,0,,,,v54
C00103,,Metabolite,0.001,,,,v55
C16255,,Metabolite,0.001,,,,v56
C00668,,Metabolite,0.001,,,,v57
C16466,,Metabolite,0.001,,,,v58
C12215,,Metabolite,0.001,,,,v59
C00118,,Metabolite,0.001,,,,v60
C00531,,Metabolite,0.001,,,,v61
C05759,,Metabolite,0.001,,,,v62
C03444,,Metabolite,0.001,,,,v63
C00369,,Metabolite,0.001,,,,v64
C16219,,Metabolite,0.001,,,,v65
C16389,,Metabolite,0.001,,,,v66
C00158,,Metabolite,0.001,,,,v67
C00236,,Metabolite,0,,,,v68
C13199,,Metabolite,0.001,,,,v69
C01832,,Metabolite,0.001,,,,v70
C05750,,Metabolite,0.001,,,,v71
C05758,,Metabolite,0.001,,,,v72
C00383,,Metabolite,0.001,,,,v73
C00004,,Metabolite,0.083,,,,v74
C00168,,Metabolite,0.001,,,,v75
C00354,,Metabolite,15,,,,v76
C00712,,Metabolite,0.001,,,,v77
C00288,,Metabolite,0.001,,,,v78
C00741,,Metabolite,0.001,,,,v79
C04618,,Metabolite,0.001,,,,v80
C00127,,Metabolite,0.001,,,,v81
C05270,,Metabolite,0.001,,,,v82
C04620,,Metabolite,0.001,,,,v83
C01182,,Metabolite,0.001,,,,v84
C00390,,Metabolite,0.001,,,,v85
C16334,,Metabolite,0.001,,,,v86
C05753,,Metabolite,0.001,,,,v87
C00025,,Metabolite,0.001,,,,v88
C00063,,Metabolite,0.001,,,,v89
C03069,,Metabolite,0.001,,,,v90
C02575,,Metabolite,0.001,,,,v91
C00044,,Metabolite,0.001,,,,v92
C05747,,Metabolite,0.001,,,,v93
C00154,,Metabolite,0.001,,,,v94
C02086,,Metabolite,0.001,,,,v95
C00718,,Metabolite,0.001,,,,v96
C05746,,Metabolite,0.001,,,,v97
C02232,,Metabolite,0.001,,,,v98
C00080,,Metabolite,0.0001,,,,v99
C01097,,Metabolite,0.001,,,,v100
C16331,,Metabolite,0.001,,,,v101
C00345,,Metabolite,3.8,,,,v102
C06157,,Metabolite,0.001,,,,v103
C04633,,Metabolite,0.001,,,,v104
C01401,,Metabolite,0.001,,,,v105
C01271,,Metabolite,0.001,,,,v106
C01478,,Metabolite,0.001,,,,v107
C00322,,Metabolite,0.001,,,,v108
C00704,,Metabolite,0.001,,,,v109
C04419,,Metabolite,0.001,,,,v110
C11592,,Metabolite,0.001,,,,v111
C16173,,Metabolite,0.001,,,,v112
C00199,,Metabolite,0.5,,,,v113
C05755,,Metabolite,0.001,,,,v114
C00361,,Metabolite,0.001,,,,v115
C01172,,Metabolite,0.001,,,,v116
C00631,,Metabolite,0,,,,v117
C04246,,Metabolite,0.001,,,,v118
C00417,,Metabolite,0.001,,,,v119
C07182,,Metabolite,0.001,,,,v120
C04619,,Metabolite,0.001,,,,v121
C00264,,Metabolite,0.001,,,,v122
C05764,,Metabolite,0.001,,,,v123
C04688,,Metabolite,0.001,,,,v124
C05752,,Metabolite,0.001,,,,v125
C01209,,Metabolite,0.001,,,,v126
C11215,,Metabolite,0.001,,,,v127
C00209,,Metabolite,0.001,,,,v128
C16335,,Metabolite,0.001,,,,v129
