EC,Name
2.7.7.6,DNA-directed RNA polymerase
5.2.1.8,peptidylprolyl isomerase
6.3.5.5,carbamoyl-phosphate synthase (glutamine-hydrolysing)
6.1.1.7,alanine---tRNA ligase
6.1.1.15,proline---tRNA ligase
1.11.1.26,NADH-dependent peroxiredoxin
6.1.1.5,isoleucine---tRNA ligase
6.1.1.20,phenylalanine---tRNA ligase
4.3.1.1,aspartate ammonia-lyase
2.8.1.7,cysteine desulfurase
6.1.1.11,serine---tRNA ligase
6.3.4.4,adenylosuccinate synthase
6.1.1.-,
6.1.1.4,leucine---tRNA ligase
2.7.1.30,glycerol kinase
6.1.1.14,glycine---tRNA ligase
2.3.1.117,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
2.7.3.9,phosphoenolpyruvate---protein phosphotransferase
7.1.2.2,H+-transporting two-sector ATPase
2.7.4.3,adenylate kinase
3.4.25.2,HslU---HslV peptidase
6.3.4.2,CTP synthase (glutamine hydrolysing)
2.6.1.16,glutamine---fructose-6-phosphate transaminase (isomerizing)
6.1.1.17,glutamate---tRNA ligase
3.4.13.18,cytosol nonspecific dipeptidase
5.4.2.11,"phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)"
3.2.1.22,alpha-galactosidase
6.1.1.9,valine---tRNA ligase
1.1.1.205,IMP dehydrogenase
6.1.1.3,threonine---tRNA ligase
7.4.2.1,ABC-type polar-amino-acid transporter
7.5.2.1,ABC-type maltose transporter
6.1.1.22,asparagine---tRNA ligase
6.1.1.21,histidine---tRNA ligase
6.1.1.10,methionine---tRNA ligase
6.3.4.14,biotin carboxylase
7.4.2.-,
6.1.1.1,tyrosine---tRNA ligase
1.11.1.-,
1.6.1.1,NAD(P)+ transhydrogenase (Si-specific)
6.3.5.2,GMP synthase (glutamine-hydrolysing)
3.2.1.93,"alpha,alpha-phosphotrehalase"
3.4.24.70,oligopeptidase A
6.1.1.6,lysine---tRNA ligase
2.7.4.6,nucleoside-diphosphate kinase
1.15.1.1,superoxide dismutase
4.3.2.1,argininosuccinate lyase
2.7.1.199,protein-Npi-phosphohistidine---D-glucose phosphotransferase
2.7.7.8,polyribonucleotide nucleotidyltransferase
3.4.11.2,membrane alanyl aminopeptidase
1.8.1.9,thioredoxin-disulfide reductase
2.5.1.55,3-deoxy-8-phosphooctulonate synthase
6.3.4.5,argininosuccinate synthase
6.1.1.18,glutamine---tRNA ligase
5.4.3.8,"glutamate-1-semialdehyde 2,1-aminomutase"
7.1.1.-,
2.4.2.1,purine-nucleoside phosphorylase
2.5.1.78,"6,7-dimethyl-8-ribityllumazine synthase"
5.1.3.20,ADP-glyceromanno-heptose 6-epimerase
3.4.13.9,Xaa-Pro dipeptidase
6.1.1.19,arginine---tRNA ligase
1.5.1.34,"6,7-dihydropteridine reductase"
1.16.3.2,bacterial non-heme ferritin
5.3.1.28,D-sedoheptulose-7-phosphate isomerase
3.6.1.1,inorganic diphosphatase
5.6.2.2,DNA topoisomerase (ATP-hydrolysing)
1.1.1.251,galactitol-1-phosphate 5-dehydrogenase
2.4.2.3,uridine phosphorylase
3.4.21.92,endopeptidase Clp
4.3.3.7,4-hydroxy-tetrahydrodipicolinate synthase
3.4.11.23,PepB aminopeptidase
6.1.1.2,tryptophan---tRNA ligase
6.3.1.5,NAD+ synthase
3.4.21.107,peptidase Do
6.3.2.4,D-alanine---D-alanine ligase
3.4.11.18,methionyl aminopeptidase
3.1.13.1,exoribonuclease II
2.7.7.7,DNA-directed DNA polymerase
5.4.2.10,phosphoglucosamine mutase
1.17.7.1,(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin)
4.1.1.19,arginine decarboxylase
2.6.1.87,UDP-4-amino-4-deoxy-L-arabinose aminotransferase
4.2.1.-,
5.3.1.25,L-fucose isomerase
6.1.1.16,cysteine---tRNA ligase
4.3.2.2,adenylosuccinate lyase
4.2.1.24,porphobilinogen synthase
1.2.1.-,
3.1.3.25,inositol-phosphate phosphatase
5.1.3.-,
2.8.4.3,tRNA-2-methylthio-N6-dimethylallyladenosine synthase
4.2.1.46,"dTDP-glucose 4,6-dehydratase"
3.5.1.16,acetylornithine deacetylase
1.1.1.305,UDP-glucuronic acid dehydrogenase (UDP-4-keto-hexauronic acid decarboxylating)
7.6.2.-,
3.9.1.-,
1.5.1.38,FMN reductase (NADPH)
1.6.5.9,NADH:quinone reductase (non-electrogenic)
3.1.4.46,glycerophosphodiester phosphodiesterase
2.4.2.9,uracil phosphoribosyltransferase
2.4.1.1,glycogen phosphorylase
2.4.2.8,hypoxanthine phosphoribosyltransferase
3.6.5.n1,
1.11.1.24,thioredoxin-dependent peroxiredoxin
3.2.1.23,beta-galactosidase
2.5.1.7,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
3.6.4.-,
3.4.15.5,peptidyl-dipeptidase Dcp
5.6.2.1,DNA topoisomerase
2.6.1.11,acetylornithine transaminase
1.8.1.7,glutathione-disulfide reductase
4.1.1.23,orotidine-5'-phosphate decarboxylase
5.3.1.16,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase
5.1.3.29,L-fucose mutarotase
2.3.1.-,
4.1.3.3,N-acetylneuraminate lyase
6.3.5.3,phosphoribosylformylglycinamidine synthase
1.8.1.2,assimilatory sulfite reductase (NADPH)
6.3.2.6,phosphoribosylaminoimidazolesuccinocarboxamide synthase
3.2.1.21,beta-glucosidase
3.1.3.15,histidinol-phosphatase
3.5.1.88,peptide deformylase
2.7.1.167,D-glycero-beta-D-manno-heptose-7-phosphate kinase
3.4.11.1,leucyl aminopeptidase
2.4.2.7,adenine phosphoribosyltransferase
4.98.1.1,protoporphyrin ferrochelatase
5.4.2.12,"phosphoglycerate mutase (2,3-diphosphoglycerate-independent)"
4.1.2.40,tagatose-bisphosphate aldolase
4.1.3.36,"1,4-dihydroxy-2-naphthoyl-CoA synthase"
1.17.4.1,ribonucleoside-diphosphate reductase
1.7.1.7,GMP reductase
1.2.1.41,glutamate-5-semialdehyde dehydrogenase
1.5.1.41,riboflavin reductase [NAD(P)H]
2.4.2.22,xanthine phosphoribosyltransferase
2.5.1.9,riboflavin synthase
3.4.11.9,Xaa-Pro aminopeptidase
2.7.2.8,acetylglutamate kinase
3.4.24.-,
6.3.4.13,phosphoribosylamine---glycine ligase
5.3.1.8,mannose-6-phosphate isomerase
2.4.2.17,ATP phosphoribosyltransferase
3.1.11.2,exodeoxyribonuclease III
6.3.5.4,asparagine synthase (glutamine-hydrolysing)
3.6.4.13,Transferred to 5.6.2.5 and 5.6.2.6 and 5.6.2.7
2.7.4.22,UMP kinase
3.1.21.3,type I site-specific deoxyribonuclease
2.6.1.33,"dTDP-4-amino-4,6-dideoxy-D-glucose transaminase"
1.5.3.2,N-methyl-L-amino-acid oxidase
3.6.1.23,dUTP diphosphatase
1.20.4.1,arsenate reductase (glutathione/glutaredoxin)
6.3.2.13,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate---2,6-diaminopimelate ligase"
1.8.4.12,peptide-methionine (R)-S-oxide reductase
2.8.1.1,thiosulfate sulfurtransferase
6.3.1.-,
5.1.1.1,alanine racemase
2.5.1.61,hydroxymethylbilane synthase
2.5.1.18,glutathione transferase
4.1.1.37,uroporphyrinogen decarboxylase
2.10.1.1,molybdopterin molybdotransferase
2.6.99.2,pyridoxine 5'-phosphate synthase
2.4.2.10,orotate phosphoribosyltransferase
2.7.7.24,glucose-1-phosphate thymidylyltransferase
1.1.1.23,histidinol dehydrogenase
6.3.2.9,UDP-N-acetylmuramoyl-L-alanine---D-glutamate ligase
6.3.2.12,dihydrofolate synthase
1.17.7.4,4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase
6.3.2.45,"UDP-N-acetylmuramate---L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptanedioate ligase"
1.5.1.2,pyrroline-5-carboxylate reductase
3.1.3.-,
5.1.3.13,"dTDP-4-dehydrorhamnose 3,5-epimerase"
1.6.5.10,NADPH dehydrogenase (quinone)
1.2.1.38,N-acetyl-gamma-glutamyl-phosphate reductase
6.3.2.10,UDP-N-acetylmuramoyl-tripeptide---D-alanyl-D-alanine ligase
3.6.1.-,
5.3.4.1,protein disulfide-isomerase
4.2.1.126,N-acetylmuramic acid 6-phosphate etherase
2.7.4.9,dTMP kinase
2.1.3.2,aspartate carbamoyltransferase
3.4.19.5,beta-aspartyl-peptidase
3.1.3.23,sugar-phosphatase
3.2.2.3,uridine nucleosidase
3.6.1.66,XTP/dITP diphosphatase
3.1.26.12,ribonuclease E
4.1.99.12,"3,4-dihydroxy-2-butanone-4-phosphate synthase"
2.1.1.200,tRNA (cytidine32/uridine32-2'-O)-methyltransferase
3.5.4.16,GTP cyclohydrolase I
2.7.7.56,tRNA nucleotidyltransferase
3.5.3.11,agmatinase
3.5.4.13,dCTP deaminase
2.1.1.-,
2.7.7.9,UTP---glucose-1-phosphate uridylyltransferase
1.17.4.2,ribonucleoside-triphosphate reductase (thioredoxin)
2.7.7.4,sulfate adenylyltransferase
3.1.11.6,exodeoxyribonuclease VII
2.1.1.198,16S rRNA (cytidine1402-2'-O)-methyltransferase
3.1.3.7,"3'(2'),5'-bisphosphate nucleotidase"
2.1.1.33,tRNA (guanine46-N7)-methyltransferase
2.7.7.38,3-deoxy-manno-octulosonate cytidylyltransferase
2.8.4.4,[ribosomal protein uS12] (aspartate89-C3)-methylthiotransferase
2.1.1.186,23S rRNA (cytidine2498-2'-O)-methyltransferase
5.4.99.25,tRNA pseudouridine55 synthase
6.3.2.8,UDP-N-acetylmuramate---L-alanine ligase
2.3.1.191,UDP-3-O-(3-hydroxyacyl)glucosamine N-acyltransferase
1.3.1.98,UDP-N-acetylmuramate dehydrogenase
3.1.-.-,
3.1.1.29,peptidyl-tRNA hydrolase
1.4.99.-,
5.1.99.7,dihydroneopterin triphosphate 2'-epimerase
3.5.2.3,dihydroorotase
2.7.1.35,pyridoxal kinase
3.1.3.45,3-deoxy-manno-octulosonate-8-phosphatase
