Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI
WP_001307570.1,4.2.1.3,Escherichia coli,R1,Aconitate hydratase,R01324,MRL,C00158,C00311,Km_C00311: 0.339520901; Km_C00158: 1.662616611,Kcat_F: 6.538237947; Kcat_R: 5.557925254,C00311;C00158;C00001;C00417,C00311_KI: 0.339520901;C00158_KI: 1.662616611;C00001_KI: 2.687092781;C00417_KI: 0.306959659
WP_001307570.1,4.2.1.3,Escherichia coli,R2,Aconitate hydratase,R01325,MRL,C00158,C00001; C00417,Km_C00001: 2.687092781; Km_C00417: 0.037000000000000005; Km_C00158: 1.662616611,Kcat_F: 6.538237947; Kcat_R: 34.618153544500004,C00311;C00158;C00001;C00417,C00311_KI: 0.339520901;C00158_KI: 1.662616611;C00001_KI: 2.687092781;C00417_KI: 0.306959659
WP_001307570.1,4.2.1.3,Escherichia coli,R3,Aconitate hydratase,R01900,MRL,C00311,C00001; C00417,Km_C00001: 2.687092781; Km_C00417: 0.037000000000000005; Km_C00311: 0.339520901,Kcat_F: 5.557925254; Kcat_R: 34.618153544500004,C00311;C00158;C00001;C00417,C00311_KI: 0.339520901;C00158_KI: 1.662616611;C00001_KI: 2.687092781;C00417_KI: 0.306959659
WP_000263098.1,2.7.7.6,Escherichia coli,R4,Dna-directed rna polymerase,R00444,MRL,C00201,C00013; C00046,Km_C00013: 0.09928064; Km_C00046: 0.09928064; Km_C00201: 0.09928064,Kcat_F: 36.94316617111479; Kcat_R: 0.003180952,C00044;C00046;C00013;C00201;C00063;C00002;C00075,C00075_KI: 0.110227138;C00063_KI: 0.053723808;C00044_KI: 0.05119808;C00201_KI: 0.06970829640000001;C00046_KI: 0.06970829640000001;C00002_KI: 0.034111816;C00013_KI: 0.09928064
WP_000263098.1,2.7.7.6,Escherichia coli,R5,Dna-directed rna polymerase,R00435,MRL,C00002,C00013; C00046,Km_C00013: 0.09928064; Km_C00046: 0.066696228; Km_C00002: 0.034111816,Kcat_F: 0.09186744; Kcat_R: 0.003180952,C00044;C00046;C00013;C00201;C00063;C00002;C00075,C00075_KI: 0.110227138;C00063_KI: 0.053723808;C00044_KI: 0.05119808;C00201_KI: 0.06970829640000001;C00046_KI: 0.06970829640000001;C00002_KI: 0.034111816;C00013_KI: 0.09928064
WP_000263098.1,2.7.7.6,Escherichia coli,R6,Dna-directed rna polymerase,R00441,MRL,C00044,C00013; C00046,Km_C00013: 0.09928064; Km_C00046: 0.07523936; Km_C00044: 0.05119808,Kcat_F: 0.057736397; Kcat_R: 0.003180952,C00044;C00046;C00013;C00201;C00063;C00002;C00075,C00075_KI: 0.110227138;C00063_KI: 0.053723808;C00044_KI: 0.05119808;C00201_KI: 0.06970829640000001;C00046_KI: 0.06970829640000001;C00002_KI: 0.034111816;C00013_KI: 0.09928064
WP_000263098.1,2.7.7.6,Escherichia coli,R7,Dna-directed rna polymerase,R00442,MRL,C00063,C00013; C00046,Km_C00013: 0.09928064; Km_C00046: 0.07650222400000001; Km_C00063: 0.053723808,Kcat_F: 0.057857452; Kcat_R: 0.003180952,C00044;C00046;C00013;C00201;C00063;C00002;C00075,C00075_KI: 0.110227138;C00063_KI: 0.053723808;C00044_KI: 0.05119808;C00201_KI: 0.06970829640000001;C00046_KI: 0.06970829640000001;C00002_KI: 0.034111816;C00013_KI: 0.09928064
WP_000263098.1,2.7.7.6,Escherichia coli,R8,Dna-directed rna polymerase,R00443,MRL,C00075,C00013; C00046,Km_C00013: 0.09928064; Km_C00046: 0.104753889; Km_C00075: 0.110227138,Kcat_F: 0.049924272; Kcat_R: 0.003180952,C00044;C00046;C00013;C00201;C00063;C00002;C00075,C00075_KI: 0.110227138;C00063_KI: 0.053723808;C00044_KI: 0.05119808;C00201_KI: 0.06970829640000001;C00046_KI: 0.06970829640000001;C00002_KI: 0.034111816;C00013_KI: 0.09928064
WP_001181473.1,1.2.4.2,Escherichia coli,R9,Oxoglutarate dehydrogenase (succinyl-transferring),R01700,MRL,C00026; C15972,C00011; C16254,Km_C00011: 0.496151149; Km_C16254: 0.022980487; Km_C00026: 332.91150000000005; Km_C15972: 0.020010605,Kcat_F: 11.612947489; Kcat_R: 3.3130215229999997,C00003;C00011;C00091;C16254;C00322;C00004;C05381;C15972;C06157;C00080;C00527;C00068;C00010;C00026;C00036,C05381_KI: 0.018866798;C00010_KI: 0.066362962;C00322_KI: 0.131888092;C00036_KI: 0.114508405;C00080_KI: 0.608380556;C00091_KI: 0.053117804;C00003_KI: 0.127414092;C00527_KI: 0.052975662;C00011_KI: 0.496151149;C00026_KI: 0.134084925;C06157_KI: 0.13599052242857143;C16254_KI: 0.022980487;C00004_KI: 0.035209294;C15972_KI: 0.020010605;C00068_KI: 0.021916483
WP_001181473.1,1.2.4.2,Escherichia coli,R10,Oxoglutarate dehydrogenase (succinyl-transferring),R00621,MRL,C00026; C00068,C00011; C05381,Km_C00011: 0.496151149; Km_C05381: 0.018866798; Km_C00026: 332.91150000000005; Km_C00068: 0.021916483,Kcat_F: 11.193305654000001; Kcat_R: 3.7177315589999997,C00003;C00011;C00091;C16254;C00322;C00004;C05381;C15972;C06157;C00080;C00527;C00068;C00010;C00026;C00036,C05381_KI: 0.018866798;C00010_KI: 0.066362962;C00322_KI: 0.131888092;C00036_KI: 0.114508405;C00080_KI: 0.608380556;C00091_KI: 0.053117804;C00003_KI: 0.127414092;C00527_KI: 0.052975662;C00011_KI: 0.496151149;C00026_KI: 0.134084925;C06157_KI: 0.13599052242857143;C16254_KI: 0.022980487;C00004_KI: 0.035209294;C15972_KI: 0.020010605;C00068_KI: 0.021916483
