Accession Number,EC,Species,Label,Enzyme,Reaction ID,Substrates,Products,Km,Kcat
WP_001307570.1,4.2.1.3,,R0,Aconitate hydratase,R01324,C00158,C00311,Km_C00311: 5.557925253897178; Km_C00158: 6.538237946593976,Kcat_C00311: 5.557925253897178; Kcat_C00158: 6.538237946593976
WP_001307570.1,4.2.1.3,,R1,Aconitate hydratase,R01325,C00158,C00001; C00417,Km_C00001: 4.492952509435819; Km_C00417: 0.037000000000000005; Km_C00158: 6.538237946593976,Kcat_C00001: 4.492952509435819; Kcat_C00417: 0.0; Kcat_C00158: 6.538237946593976
WP_001307570.1,4.2.1.3,,R2,Aconitate hydratase,R01900,C00311,C00001; C00417,Km_C00001: 4.492952509435819; Km_C00417: 0.037000000000000005; Km_C00311: 5.557925253897178,Kcat_C00001: 4.492952509435819; Kcat_C00417: 0.0; Kcat_C00311: 5.557925253897178
WP_000263098.1,2.7.7.6,,R3,Dna-directed rna polymerase,R00444,C00201,C00013; C00046,Km_C00013: 0.0031809519978795; Km_C00046: nan; Km_C00201: nan,Kcat_C00013: 0.0031809519978795; Kcat_C00046: nan; Kcat_C00201: nan
WP_000263098.1,2.7.7.6,,R4,Dna-directed rna polymerase,R00435,C00002,C00013; C00046,Km_C00013: 0.0031809519978795; Km_C00046: nan; Km_C00002: 0.0918674402620869,Kcat_C00013: 0.0031809519978795; Kcat_C00046: nan; Kcat_C00002: 0.0918674402620869
WP_000263098.1,2.7.7.6,,R5,Dna-directed rna polymerase,R00441,C00044,C00013; C00046,Km_C00013: 0.0031809519978795; Km_C00046: nan; Km_C00044: 0.0577363968134691,Kcat_C00013: 0.0031809519978795; Kcat_C00046: nan; Kcat_C00044: 0.0577363968134691
WP_000263098.1,2.7.7.6,,R6,Dna-directed rna polymerase,R00442,C00063,C00013; C00046,Km_C00013: 0.0031809519978795; Km_C00046: nan; Km_C00063: 0.0578574521193696,Kcat_C00013: 0.0031809519978795; Kcat_C00046: nan; Kcat_C00063: 0.0578574521193696
WP_000263098.1,2.7.7.6,,R7,Dna-directed rna polymerase,R00443,C00075,C00013; C00046,Km_C00013: 0.0031809519978795; Km_C00046: nan; Km_C00075: 0.0499242719984405,Kcat_C00013: 0.0031809519978795; Kcat_C00046: nan; Kcat_C00075: 0.0499242719984405
WP_001181473.1,1.2.4.2,,R8,Oxoglutarate dehydrogenase (succinyl-transferring),R01700,C00026; C15972,C00011; C16254,Km_C00011: 4.268352803810921; Km_C16254: 2.357690241789859; Km_C00026: 332.91150000000005; Km_C15972: 4.375894977583065,Kcat_C00011: 4.268352803810921; Kcat_C16254: 2.357690241789859; Kcat_C00026: 18.85; Kcat_C15972: 4.375894977583065
WP_001181473.1,1.2.4.2,,R9,Oxoglutarate dehydrogenase (succinyl-transferring),R00621,C00026; C00068,C00011; C05381,Km_C00011: 4.268352803810921; Km_C05381: 3.167110314220737; Km_C00026: 332.91150000000005; Km_C00068: 3.536611308241128,Kcat_C00011: 4.268352803810921; Kcat_C05381: 3.167110314220737; Kcat_C00026: 18.85; Kcat_C00068: 3.536611308241128
WP_001181473.1,1.2.4.2,,R10,Oxoglutarate dehydrogenase (succinyl-transferring),R01933,C00003; C00010; C00322,C00004; C00011; C00080; C00527,Km_C00004: 3.7701391624218648; Km_C00011: 4.268352803810921; Km_C00080: nan; Km_C00527: 3.537526102418533; Km_C00003: 4.034974102400456; Km_C00010: 4.648919937315644; Km_C00322: 2.557759841012184,Kcat_C00004: 3.7701391624218648; Kcat_C00011: 4.268352803810921; Kcat_C00080: nan; Kcat_C00527: 3.537526102418533; Kcat_C00003: 4.034974102400456; Kcat_C00010: 4.648919937315644; Kcat_C00322: 2.557759841012184
