Accession Number,EC,Species,Label,Enzyme,Reaction ID,Substrates,Products,Km,Kcat
WP_001307570.1,4.2.1.3,,R1,Aconitate hydratase,R01324,C00158,C00311,Km_C00311: 0.3395209014415741; Km_C00158: 1.6626166105270386,Kcat_F: 6.538237946593976; Kcat_R: 5.557925253897178
WP_001307570.1,4.2.1.3,,R2,Aconitate hydratase,R01325,C00158,C00001; C00417,Km_C00001: 2.6870927810668945; Km_C00417: 0.037000000000000005; Km_C00158: 1.6626166105270386,Kcat_F: 6.538237946593976; Kcat_R: 34.61815354506536
WP_001307570.1,4.2.1.3,,R3,Aconitate hydratase,R01900,C00311,C00001; C00417,Km_C00001: 2.6870927810668945; Km_C00417: 0.037000000000000005; Km_C00311: 0.3395209014415741,Kcat_F: 5.557925253897178; Kcat_R: 34.61815354506536
WP_000263098.1,2.7.7.6,,R4,Dna-directed rna polymerase,R00444,C00201,C00013; C00046,Km_C00013: 0.0992806404829025; Km_C00046: nan; Km_C00201: nan,Kcat_F: nan; Kcat_R: 0.0031809519978795
WP_000263098.1,2.7.7.6,,R5,Dna-directed rna polymerase,R00435,C00002,C00013; C00046,Km_C00013: 0.0992806404829025; Km_C00046: nan; Km_C00002: 0.0341118164360523,Kcat_F: 0.0918674402620869; Kcat_R: 0.0031809519978795
WP_000263098.1,2.7.7.6,,R6,Dna-directed rna polymerase,R00441,C00044,C00013; C00046,Km_C00013: 0.0992806404829025; Km_C00046: nan; Km_C00044: 0.0511980801820755,Kcat_F: 0.0577363968134691; Kcat_R: 0.0031809519978795
WP_000263098.1,2.7.7.6,,R7,Dna-directed rna polymerase,R00442,C00063,C00013; C00046,Km_C00013: 0.0992806404829025; Km_C00046: nan; Km_C00063: 0.0537238083779811,Kcat_F: 0.0578574521193696; Kcat_R: 0.0031809519978795
WP_000263098.1,2.7.7.6,,R8,Dna-directed rna polymerase,R00443,C00075,C00013; C00046,Km_C00013: 0.0992806404829025; Km_C00046: nan; Km_C00075: 0.1102271378040313,Kcat_F: 0.0499242719984405; Kcat_R: 0.0031809519978795
WP_001181473.1,1.2.4.2,,R9,Oxoglutarate dehydrogenase (succinyl-transferring),R01700,C00026; C15972,C00011; C16254,Km_C00011: 0.4961511492729187; Km_C16254: 0.0229804869741201; Km_C00026: 332.91150000000005; Km_C15972: 0.0200106054544448,Kcat_F: 11.612947488791534; Kcat_R: 3.31302152280039
WP_001181473.1,1.2.4.2,,R10,Oxoglutarate dehydrogenase (succinyl-transferring),R00621,C00026; C00068,C00011; C05381,Km_C00011: 0.4961511492729187; Km_C05381: 0.0188667979091405; Km_C00026: 332.91150000000005; Km_C00068: 0.0219164825975894,Kcat_F: 11.193305654120564; Kcat_R: 3.717731559015829
WP_001181473.1,1.2.4.2,,R11,Oxoglutarate dehydrogenase (succinyl-transferring),R01933,C00003; C00010; C00322,C00004; C00011; C00080; C00527,Km_C00004: 0.0352092944085598; Km_C00011: 0.4961511492729187; Km_C00080: 0.6083805561065674; Km_C00527: 0.0529756620526313; Km_C00003: 0.1274140924215316; Km_C00010: 0.0663629621267318; Km_C00322: 0.1318880915641784,Kcat_F: 3.7472179602427613; Kcat_R: 3.8586726895504397
WP_001181473.1,1.2.4.2,,R12,Oxoglutarate dehydrogenase (succinyl-transferring),R01940,C00322; C15972,C00011; C06157,Km_C00011: 0.4961511492729187; Km_C06157: nan; Km_C00322: 0.1318880915641784; Km_C15972: 0.0200106054544448,Kcat_F: 3.4668274092976246; Kcat_R: 4.268352803810921
WP_001181473.1,1.2.4.2,,R13,Oxoglutarate dehydrogenase (succinyl-transferring),R03316,C05381; C15972,C00068; C16254,Km_C00068: 0.0219164825975894; Km_C16254: 0.0229804869741201; Km_C05381: 0.0188667979091405; Km_C15972: 0.0200106054544448,Kcat_F: 3.7715026459019008; Kcat_R: 2.9471507750154933
WP_001181473.1,1.2.4.2,,R14,Oxoglutarate dehydrogenase (succinyl-transferring),R08549,C00003; C00010; C00026,C00004; C00011; C00080; C00091,Km_C00004: 0.0352092944085598; Km_C00011: 0.4961511492729187; Km_C00080: 0.6083805561065674; Km_C00091: 0.0531178042292594; Km_C00003: 0.1274140924215316; Km_C00010: 0.0663629621267318; Km_C00026: 332.91150000000005,Kcat_F: 9.177964679905367; Kcat_R: 3.939460558825067
